Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
79 Parametros Generales,Chrome 115.0.0.0,,,2023-08-14 15:08:05,2023-08-14 15:08:46,"40,356s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/79 Parametros Generales,Chrome 115.0.0.0,,,2023-08-14 15:08:06,2023-08-14 15:08:46,"40,112s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/30 Sistema""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 15:08:06,2023-08-14 15:08:29,"22,593s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/7Sistema/0Principal/img_1 Parametros Generales""))",Chrome 115.0.0.0,,,2023-08-14 15:08:29,2023-08-14 15:08:30,"1,341s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 15:08:30,2023-08-14 15:08:33,"3,008s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/7Sistema/1 Parametros Generales/input_Busqueda""), ""idiom"")",Chrome 115.0.0.0,,,2023-08-14 15:08:33,2023-08-14 15:08:34,"0,849s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/7Sistema/1 Parametros Generales/img_Filtrar""))",Chrome 115.0.0.0,,,2023-08-14 15:08:34,2023-08-14 15:08:34,"0,436s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 15:08:34,2023-08-14 15:08:36,"2,011s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/7Sistema/1 Parametros Generales/Lista Botones Editar/btn_Editar 1""))",Chrome 115.0.0.0,,,2023-08-14 15:08:36,2023-08-14 15:08:37,"0,509s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 15:08:37,2023-08-14 15:08:39,"2,009s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/7Sistema/1 Parametros Generales/Pestanas/Cambiar Parametros/Texto/a_Guardar""))",Chrome 115.0.0.0,,,2023-08-14 15:08:39,2023-08-14 15:08:39,"0,491s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 15:08:39,2023-08-14 15:08:42,"3,005s",PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-14 15:08:42,2023-08-14 15:08:43,"0,553s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 15:08:43,2023-08-14 15:08:46,"3,007s",PASSED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 15:08:46,2023-08-14 15:08:46,"0,000s",PASSED
