Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.2 Crear WorkFlow - Sala Entrega Documentos,Chrome 120.0.0.0,,,2024-01-15 09:58:18,2024-01-15 09:59:12,"53,302s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/2Salas/5.2 Crear WorkFlow - Sala Entrega Documentos,Chrome 120.0.0.0,,,2024-01-15 09:58:19,2024-01-15 09:59:12,"53,092s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-15 09:58:19,2024-01-15 09:58:30,"11,331s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 120.0.0.0,,,2024-01-15 09:58:30,2024-01-15 09:58:31,"0,867s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:58:31,2024-01-15 09:58:34,"3,009s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Salas""))",Chrome 120.0.0.0,,,2024-01-15 09:58:34,2024-01-15 09:58:35,"0,734s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:58:35,2024-01-15 09:58:38,"3,006s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/btn_SeleccionarOficina""))",Chrome 120.0.0.0,Se escoge oficina WorkFlow para crear WorkFlow - Sala Entrega Documentos,,2024-01-15 09:58:38,2024-01-15 09:58:38,"0,494s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 09:58:38,2024-01-15 09:58:40,"2,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/btn_Seleccionar Oficina(1)/a_WorkFlow - Oficina WorkFlow""))",Chrome 120.0.0.0,,,2024-01-15 09:58:40,2024-01-15 09:58:41,"0,409s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 09:58:41,2024-01-15 09:58:43,"2,005s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_Nombre""), ""WorkFlow - Sala Entrega Documentos"")",Chrome 120.0.0.0,,,2024-01-15 09:58:43,2024-01-15 09:58:44,"0,903s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/textarea_Descripcion""), ""WorkFlow - Sala Entrega Documentos"")",Chrome 120.0.0.0,,,2024-01-15 09:58:44,2024-01-15 09:58:45,"0,842s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_MaximoOcupacion""), ""100"")",Chrome 120.0.0.0,,,2024-01-15 09:58:45,2024-01-15 09:58:45,"0,760s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_Tiempo de Abandono HH""), ""4"")",Chrome 120.0.0.0,,,2024-01-15 09:58:45,2024-01-15 09:58:46,"0,747s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Label/label_Habilitar Agendamiento""), 2)",Chrome 120.0.0.0,,,2024-01-15 09:58:46,2024-01-15 09:58:46,"0,373s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:58:46,2024-01-15 09:58:49,"3,003s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Promesa de Espera/input_Minutos promesa de espera""), ""10"")",Chrome 120.0.0.0,,,2024-01-15 09:58:49,2024-01-15 09:58:50,"0,769s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Promesa de atencion/input_Minutos Promesa Atencion""), ""5"")",Chrome 120.0.0.0,,,2024-01-15 09:58:50,2024-01-15 09:58:51,"0,829s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Label/label_Habilitar Agendamiento""))",Chrome 120.0.0.0,,,2024-01-15 09:58:51,2024-01-15 09:58:51,"0,445s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:58:51,2024-01-15 09:58:54,"3,007s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/AgendamientoLlamado/Intervalo creacion/input_Minutos Intervalo Creacion""), ""2"")",Chrome 120.0.0.0,,,2024-01-15 09:58:54,2024-01-15 09:58:55,"0,864s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/AgendamientoLlamado/Tiempo Limite Creacion/input_Minutos Tiempo Limite Creacion""), ""2"")",Chrome 120.0.0.0,,,2024-01-15 09:58:55,2024-01-15 09:58:56,"0,851s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Label/label_Paso a distraido""))",Chrome 120.0.0.0,,,2024-01-15 09:58:56,2024-01-15 09:58:57,"0,430s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:58:57,2024-01-15 09:59:00,"3,003s",PASSED
