Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.6 Creacion Columnas Tablero Cartagena,Chrome 114.0.0.0,,,2023-07-11 11:18:54,2023-07-11 11:19:58,"1m - 3,677s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/6Tableros/5.6 Creacion Columnas Tablero Cartagena,Chrome 114.0.0.0,,,2023-07-11 11:18:54,2023-07-11 11:19:58,"1m - 3,430s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 11:18:54,2023-07-11 11:19:06,"11,437s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 114.0.0.0,,,2023-07-11 11:19:06,2023-07-11 11:19:07,"1,045s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:19:07,2023-07-11 11:19:10,"3,007s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Tableros""))",Chrome 114.0.0.0,Cartagena,,2023-07-11 11:19:10,2023-07-11 11:19:11,"0,857s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:19:11,2023-07-11 11:19:14,"3,001s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/0OficinaModal/td_Cartagena - Bocagrande""))",Chrome 114.0.0.0,,,2023-07-11 11:19:14,2023-07-11 11:19:14,"0,410s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:19:14,2023-07-11 11:19:17,"3,015s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Lista de Tableros/td_Tablero - 1""))",Chrome 114.0.0.0,,,2023-07-11 11:19:17,2023-07-11 11:19:18,"0,467s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:19:18,2023-07-11 11:19:21,"3,017s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/span_Columnas""))",Chrome 114.0.0.0,,,2023-07-11 11:19:21,2023-07-11 11:19:21,"0,478s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 11:19:21,2023-07-11 11:19:23,"2,012s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/input_Nombre""), ""Turno"")",Chrome 114.0.0.0,Creacion Turno,,2023-07-11 11:19:23,2023-07-11 11:19:24,"0,845s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/textarea_Descripcion""), ""Turno"")",Chrome 114.0.0.0,,,2023-07-11 11:19:24,2023-07-11 11:19:25,"0,825s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/input_Titulo""), ""Turno"")",Chrome 114.0.0.0,,,2023-07-11 11:19:25,2023-07-11 11:19:26,"0,773s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/btn_Atributos""), 2)",Chrome 114.0.0.0,,,2023-07-11 11:19:26,2023-07-11 11:19:26,"0,405s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/Label/Columnas/label_Habilitada""))",Chrome 114.0.0.0,,,2023-07-11 11:19:26,2023-07-11 11:19:27,"0,465s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/btn_Atributos""))",Chrome 114.0.0.0,,,2023-07-11 11:19:27,2023-07-11 11:19:27,"0,395s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:19:27,2023-07-11 11:19:30,"3,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/btn_Atributos (1)/a_Turno.Numero""))",Chrome 114.0.0.0,,,2023-07-11 11:19:30,2023-07-11 11:19:30,"0,434s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 11:19:30,2023-07-11 11:19:32,"2,011s",PASSED
"scrollToPosition(0, 0)",Chrome 114.0.0.0,,,2023-07-11 11:19:32,2023-07-11 11:19:32,"0,058s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 11:19:32,2023-07-11 11:19:34,"2,019s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/img_Nuevo""))",Chrome 114.0.0.0,,,2023-07-11 11:19:34,2023-07-11 11:19:35,"0,452s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:19:35,2023-07-11 11:19:38,"3,018s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/input_Nombre""), 2)",Chrome 114.0.0.0,,,2023-07-11 11:19:38,2023-07-11 11:19:38,"0,390s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/input_Nombre""), ""Modulo"")",Chrome 114.0.0.0,Creacion Modulo,,2023-07-11 11:19:38,2023-07-11 11:19:39,"0,769s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/textarea_Descripcion""), ""Modulo"")",Chrome 114.0.0.0,,,2023-07-11 11:19:39,2023-07-11 11:19:40,"0,780s",PASSED
