Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.2 Crear WorkFlow - Sala Pagos,Chrome 123.0.0.0,,,2024-04-02 14:57:52,2024-04-02 14:58:46,"53,893s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/2Salas/5.2 Crear WorkFlow - Sala Pagos,Chrome 123.0.0.0,,,2024-04-02 14:57:53,2024-04-02 14:58:46,"53,643s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-02 14:57:53,2024-04-02 14:58:05,"11,917s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 123.0.0.0,,,2024-04-02 14:58:05,2024-04-02 14:58:05,"0,647s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:58:05,2024-04-02 14:58:08,"3,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Salas""))",Chrome 123.0.0.0,,,2024-04-02 14:58:08,2024-04-02 14:58:09,"0,783s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:58:09,2024-04-02 14:58:12,"3,001s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/btn_SeleccionarOficina""))",Chrome 123.0.0.0,Se escoge oficina WorkFlow para crear WorkFlow - Sala Entrega Documentos,,2024-04-02 14:58:12,2024-04-02 14:58:13,"0,473s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-02 14:58:13,2024-04-02 14:58:15,"2,021s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/btn_Seleccionar Oficina(1)/a_WorkFlow - Oficina WorkFlow""))",Chrome 123.0.0.0,,,2024-04-02 14:58:15,2024-04-02 14:58:15,"0,465s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-02 14:58:15,2024-04-02 14:58:17,"2,016s",PASSED
