Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.1 Crear Oficina WorkFlow,Chrome 120.0.0.0,,,2024-01-15 09:50:52,2024-01-15 09:51:52,"59,602s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/1Oficinas/5.1 Crear Oficina WorkFlow,Chrome 120.0.0.0,,,2024-01-15 09:50:53,2024-01-15 09:51:52,"59,338s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-15 09:50:53,2024-01-15 09:51:04,"11,235s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 120.0.0.0,,,2024-01-15 09:51:04,2024-01-15 09:51:05,"0,920s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:51:05,2024-01-15 09:51:08,"3,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Oficinas""))",Chrome 120.0.0.0,,,2024-01-15 09:51:08,2024-01-15 09:51:09,"0,843s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:51:09,2024-01-15 09:51:12,"3,010s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Pais""), ""Colombia"", false)",Chrome 120.0.0.0,,,2024-01-15 09:51:12,2024-01-15 09:51:13,"0,872s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 09:51:13,2024-01-15 09:51:15,"2,015s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Departamento""), ""Dpto WorkFlow"", false)",Chrome 120.0.0.0,,,2024-01-15 09:51:15,2024-01-15 09:51:16,"0,767s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 09:51:16,2024-01-15 09:51:18,"2,011s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Ciudad""), ""WorkFlow"", false)",Chrome 120.0.0.0,,,2024-01-15 09:51:18,2024-01-15 09:51:18,"0,787s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 09:51:18,2024-01-15 09:51:20,"2,006s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/input_Nombre""), ""WorkFlow - Oficina WorkFlow"")",Chrome 120.0.0.0,Oficina WorkFlow - Oficina WorkFlow,,2024-01-15 09:51:20,2024-01-15 09:51:21,"0,867s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Nivel de Pregunta""), ""Ninguno"", false)",Chrome 120.0.0.0,,,2024-01-15 09:51:21,2024-01-15 09:51:22,"0,733s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:51:22,2024-01-15 09:51:25,"3,009s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/input_MaximoTurnosXCliente""), ""2"")",Chrome 120.0.0.0,,,2024-01-15 09:51:25,2024-01-15 09:51:26,"0,857s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/input_Nivel de servicio de espera""), ""0"")",Chrome 120.0.0.0,,,2024-01-15 09:51:26,2024-01-15 09:51:27,"0,780s",PASSED
"scrollToPosition(100, 800)",Chrome 120.0.0.0,,,2024-01-15 09:51:27,2024-01-15 09:51:27,"0,023s",PASSED
