Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3.4b Agregar arbol a SubServicios Radicaciones,Chrome 115.0.0.0,,,2023-08-14 08:56:27,2023-08-14 08:57:47,"1m - 20,243s",FAILED
,,,,,,,
Test Cases/WIZARD/1Modelo De Negocio/3.4b Agregar arbol a SubServicios Radicaciones,Chrome 115.0.0.0,,,2023-08-14 08:56:28,2023-08-14 08:57:47,"1m - 19,867s",FAILED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 08:56:28,2023-08-14 08:56:50,"22,309s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_ModeloDeNegocioMAX""))",Chrome 115.0.0.0,,,2023-08-14 08:56:50,2023-08-14 08:57:00,"10,119s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 08:57:00,2023-08-14 08:57:03,"3,004s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/input_cajaBusqueda""), ""Radicaciones"")",Chrome 115.0.0.0,Buscamos el Servicio Radicaciones General,,2023-08-14 08:57:03,2023-08-14 08:57:04,"0,760s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 08:57:04,2023-08-14 08:57:07,"3,008s",PASSED
"rightClick(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/9 General Radicaciones/span_9 Radicaciones""))",Chrome 115.0.0.0,,,2023-08-14 08:57:07,2023-08-14 08:57:08,"0,527s",PASSED
"mouseOver(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/9 General Radicaciones/span_Elemento""))",Chrome 115.0.0.0,,,2023-08-14 08:57:08,2023-08-14 08:57:08,"0,794s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 08:57:08,2023-08-14 08:57:10,"2,012s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/9 General Radicaciones/span_Elemento(1)/span_Agregar Elementos""))",Chrome 115.0.0.0,,,2023-08-14 08:57:10,2023-08-14 08:57:11,"0,408s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 08:57:11,2023-08-14 08:57:14,"3,009s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/9 General Radicaciones/span_Elemento(1)/span_Agregar Elementos(1)/servicios/label_1 Autorizaciones""))",Chrome 115.0.0.0,,,2023-08-14 08:57:14,2023-08-14 08:57:14,"0,574s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/9 General Radicaciones/span_Elemento(1)/span_Agregar Elementos(1)/servicios/label_2 Certificado""))",Chrome 115.0.0.0,,,2023-08-14 08:57:14,2023-08-14 08:57:15,"0,468s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/9 General Radicaciones/span_Elemento(1)/span_Agregar Elementos(1)/servicios/label_4 Facturas""))",Chrome 115.0.0.0,,,2023-08-14 08:57:15,2023-08-14 08:57:15,"0,451s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/9 General Radicaciones/span_Elemento(1)/span_Agregar Elementos(1)/servicios/label_9 Remision""))",Chrome 115.0.0.0,,,2023-08-14 08:57:15,2023-08-14 08:57:47,"31,912s",FAILED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 08:57:47,2023-08-14 08:57:47,"0,094s",PASSED
