Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.6 Creacion Columnas Tablero WorkFlow,Chrome 122.0.0.0,,,2024-03-11 11:15:01,2024-03-11 11:16:04,"1m - 3,826s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/6Tableros/5.6 Creacion Columnas Tablero WorkFlow,Chrome 122.0.0.0,,,2024-03-11 11:15:01,2024-03-11 11:16:04,"1m - 3,596s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,2024-03-11 11:15:01,2024-03-11 11:15:13,"11,959s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 122.0.0.0,,,2024-03-11 11:15:13,2024-03-11 11:15:14,"0,553s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 11:15:14,2024-03-11 11:15:17,"3,007s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Tableros""))",Chrome 122.0.0.0,WorkFlow,,2024-03-11 11:15:17,2024-03-11 11:15:18,"1,129s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 11:15:18,2024-03-11 11:15:21,"3,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/0OficinaModal/td_WorkFlow - Oficina WorkFlow""))",Chrome 122.0.0.0,,,2024-03-11 11:15:21,2024-03-11 11:15:21,"0,485s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 11:15:21,2024-03-11 11:15:24,"3,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Lista de Tableros/td_Tablero - 1""))",Chrome 122.0.0.0,,,2024-03-11 11:15:24,2024-03-11 11:15:25,"0,462s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 11:15:25,2024-03-11 11:15:28,"3,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/span_Columnas""))",Chrome 122.0.0.0,,,2024-03-11 11:15:28,2024-03-11 11:15:28,"0,428s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 11:15:28,2024-03-11 11:15:30,"2,013s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/input_Nombre""), ""Turno"")",Chrome 122.0.0.0,Creacion Turno,,2024-03-11 11:15:30,2024-03-11 11:15:31,"0,852s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/textarea_Descripcion""), ""Turno"")",Chrome 122.0.0.0,,,2024-03-11 11:15:31,2024-03-11 11:15:32,"0,739s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/input_Titulo""), ""Turno"")",Chrome 122.0.0.0,,,2024-03-11 11:15:32,2024-03-11 11:15:32,"0,679s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/btn_Atributos""), 2)",Chrome 122.0.0.0,,,2024-03-11 11:15:32,2024-03-11 11:15:33,"0,362s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/Label/Columnas/label_Habilitada""))",Chrome 122.0.0.0,,,2024-03-11 11:15:33,2024-03-11 11:15:33,"0,420s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/btn_Atributos""))",Chrome 122.0.0.0,,,2024-03-11 11:15:33,2024-03-11 11:15:34,"0,418s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 11:15:34,2024-03-11 11:15:37,"3,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/btn_Atributos (1)/a_Turno.Numero""))",Chrome 122.0.0.0,,,2024-03-11 11:15:37,2024-03-11 11:15:37,"0,475s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 11:15:37,2024-03-11 11:15:39,"2,005s",PASSED
