Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3.5 Creacion Colas,Chrome 122.0.0.0,,,2024-03-11 09:58:54,2024-03-11 09:59:52,"57,617s",PASSED
,,,,,,,
Test Cases/WIZARD/1Modelo De Negocio/3.5 Creacion Colas,Chrome 122.0.0.0,,,2024-03-11 09:58:55,2024-03-11 09:59:52,"57,389s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,2024-03-11 09:58:55,2024-03-11 09:59:09,"14,145s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_ModeloDeNegocioMAX""))",Chrome 122.0.0.0,,,2024-03-11 09:59:09,2024-03-11 09:59:10,"0,564s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 09:59:10,2024-03-11 09:59:13,"3,014s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/input_cajaBusqueda""), ""info"")",Chrome 122.0.0.0,Buscamos info para que nos muestre el arbol de los servicios,,2024-03-11 09:59:13,2024-03-11 09:59:13,"0,792s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 09:59:13,2024-03-11 09:59:16,"3,009s",PASSED
"rightClick(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/7 General Informacion/span_7 Informacion""))",Chrome 122.0.0.0,Cola 1 Informacion General,,2024-03-11 09:59:16,2024-03-11 09:59:17,"0,618s",PASSED
"mouseOver(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/7 General Informacion/span_Cola""))",Chrome 122.0.0.0,,,2024-03-11 09:59:17,2024-03-11 09:59:18,"0,767s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/7 General Informacion/span_Cola(1)/span_Crear""))",Chrome 122.0.0.0,,,2024-03-11 09:59:18,2024-03-11 09:59:18,"0,441s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 09:59:18,2024-03-11 09:59:21,"3,006s",PASSED
"rightClick(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/9 General Radicaciones/span_9 Radicaciones""))",Chrome 122.0.0.0,Cola 2 Radicaciones General,,2024-03-11 09:59:21,2024-03-11 09:59:22,"0,544s",PASSED
"mouseOver(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/9 General Radicaciones/span_Cola""))",Chrome 122.0.0.0,,,2024-03-11 09:59:22,2024-03-11 09:59:22,"0,643s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/9 General Radicaciones/span_Cola(1)/span_Crear""))",Chrome 122.0.0.0,,,2024-03-11 09:59:22,2024-03-11 09:59:23,"0,429s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 09:59:23,2024-03-11 09:59:26,"3,012s",PASSED
"rightClick(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/8 General PQRS/span_8 PQRS""))",Chrome 122.0.0.0,Cola 3 PQRS General,,2024-03-11 09:59:26,2024-03-11 09:59:26,"0,530s",PASSED
"mouseOver(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/8 General PQRS/span_Cola""))",Chrome 122.0.0.0,,,2024-03-11 09:59:26,2024-03-11 09:59:27,"0,655s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1General/8 General PQRS/span_Cola(1)/span_Crear""))",Chrome 122.0.0.0,,,2024-03-11 09:59:27,2024-03-11 09:59:27,"0,396s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 09:59:27,2024-03-11 09:59:30,"3,010s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/input_cajaBusqueda""), ""info"")",Chrome 122.0.0.0,Buscamos info para que nos muestre el arbol de los servicios,,2024-03-11 09:59:30,2024-03-11 09:59:31,"0,788s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 09:59:31,2024-03-11 09:59:34,"3,006s",PASSED
"rightClick(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1Preferencial/4 Preferencial Informacion/span_4 Informacion""))",Chrome 122.0.0.0,Cola 1 Informacion Preferencial,,2024-03-11 09:59:34,2024-03-11 09:59:35,"0,532s",PASSED
"mouseOver(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1Preferencial/4 Preferencial Informacion/span_Cola""))",Chrome 122.0.0.0,,,2024-03-11 09:59:35,2024-03-11 09:59:35,"0,658s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1Preferencial/4 Preferencial Informacion/span_Cola(1)/span_Crear""))",Chrome 122.0.0.0,,,2024-03-11 09:59:35,2024-03-11 09:59:36,"0,387s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 09:59:36,2024-03-11 09:59:39,"3,016s",PASSED
"rightClick(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1Preferencial/6 Preferencial Radicaciones/span_6 Radicaciones""))",Chrome 122.0.0.0,Cola 2 Radicaciones Preferencial,,2024-03-11 09:59:39,2024-03-11 09:59:39,"0,507s",PASSED
"mouseOver(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1Preferencial/6 Preferencial Radicaciones/span_Cola""))",Chrome 122.0.0.0,,,2024-03-11 09:59:39,2024-03-11 09:59:40,"0,684s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1Preferencial/6 Preferencial Radicaciones/span_Cola(1)/span_Crear""))",Chrome 122.0.0.0,,,2024-03-11 09:59:40,2024-03-11 09:59:40,"0,413s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 09:59:40,2024-03-11 09:59:43,"3,006s",PASSED
"rightClick(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1Preferencial/5 Preferencial PQRS/span_5 PQRS""))",Chrome 122.0.0.0,Cola 3 PQRS Preferencial,,2024-03-11 09:59:43,2024-03-11 09:59:44,"0,545s",PASSED
"mouseOver(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1Preferencial/5 Preferencial PQRS/span_Cola""))",Chrome 122.0.0.0,,,2024-03-11 09:59:44,2024-03-11 09:59:45,"0,677s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/1Preferencial/5 Preferencial PQRS/span_Cola(1)/span_Crear""))",Chrome 122.0.0.0,,,2024-03-11 09:59:45,2024-03-11 09:59:45,"0,419s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 09:59:45,2024-03-11 09:59:48,"3,010s",PASSED
takeFullPageScreenshot(),Chrome 122.0.0.0,,,2024-03-11 09:59:48,2024-03-11 09:59:49,"0,834s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 09:59:49,2024-03-11 09:59:52,"3,007s",PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,2024-03-11 09:59:52,2024-03-11 09:59:52,"0,007s",PASSED
