Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
98 Kioscos Crear Eliminar,Chrome 114.0.0.0,,,2023-07-11 12:32:49,2023-07-11 12:35:20,"2m - 30,707s",FAILED
,,,,,,,
Test Cases/DIGITURNO/BASICO/98 Kioscos Crear,Chrome 114.0.0.0,,,2023-07-11 12:32:50,2023-07-11 12:34:11,"1m - 21,304s",FAILED
"callTestCase(findTestCase(""DIGITURNO/BASICO/32 Elementos del Sistema""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 12:32:50,2023-07-11 12:33:16,"26,019s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:33:16,2023-07-11 12:33:19,"3,003s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/0Principal/img_6Kioscos""))",Chrome 114.0.0.0,,,2023-07-11 12:33:19,2023-07-11 12:33:20,"0,729s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:33:20,2023-07-11 12:33:23,"3,020s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/6 Kioscos/0 Modal Oficinas/td_1 Bogota - CIEL""))",Chrome 114.0.0.0,,,2023-07-11 12:33:23,2023-07-11 12:33:23,"0,442s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:33:23,2023-07-11 12:33:25,"2,003s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/6 Kioscos/Edicion/btn_SeleccionarSala""))",Chrome 114.0.0.0,,,2023-07-11 12:33:25,2023-07-11 12:33:26,"0,474s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:33:26,2023-07-11 12:33:28,"2,018s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/6 Kioscos/Edicion/btn_SeleccionarSala(1)/a_1 CIEL - Sala General""))",Chrome 114.0.0.0,,,2023-07-11 12:33:28,2023-07-11 12:33:28,"0,461s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:33:28,2023-07-11 12:33:30,"2,003s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/6 Kioscos/Edicion/input_Nombre""), ""Prueba"")",Chrome 114.0.0.0,Crea el Kiosco Prueba,,2023-07-11 12:33:30,2023-07-11 12:33:31,"0,804s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/6 Kioscos/Edicion/input_Direccion Ip""), ""190.165.1.1"")",Chrome 114.0.0.0,,,2023-07-11 12:33:31,2023-07-11 12:33:32,"0,782s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/6 Kioscos/Edicion/input_Extension""), ""143"")",Chrome 114.0.0.0,,,2023-07-11 12:33:32,2023-07-11 12:33:32,"0,837s",PASSED
