Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.5 Crear Terminales Bogota,Chrome 123.0.0.0,,,2024-04-02 15:17:42,2024-04-02 15:19:06,"1m - 23,933s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/5Terminales/5.5 Crear Terminales Bogota,Chrome 123.0.0.0,,,2024-04-02 15:17:42,2024-04-02 15:19:06,"1m - 23,678s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-02 15:17:43,2024-04-02 15:17:55,"12,324s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 123.0.0.0,,,2024-04-02 15:17:55,2024-04-02 15:17:56,"0,626s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:17:56,2024-04-02 15:17:59,"3,005s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Terminales""))",Chrome 123.0.0.0,inicio Bogota Ciel Informacion,,2024-04-02 15:17:59,2024-04-02 15:18:00,"0,930s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:18:00,2024-04-02 15:18:03,"3,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/0OficinasModal/td_1Bogota - CIEL""))",Chrome 123.0.0.0,,,2024-04-02 15:18:03,2024-04-02 15:18:03,"0,489s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:18:03,2024-04-02 15:18:06,"3,011s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_SeleccionarGrupo""))",Chrome 123.0.0.0,,,2024-04-02 15:18:06,2024-04-02 15:18:07,"0,407s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:18:07,2024-04-02 15:18:10,"3,024s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_Seleccionar Grupo(1)/a_Grupo General""))",Chrome 123.0.0.0,,,2024-04-02 15:18:10,2024-04-02 15:18:10,"0,462s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:18:10,2024-04-02 15:18:13,"3,009s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/input_Nombre""), ""A01"")",Chrome 123.0.0.0,,,2024-04-02 15:18:13,2024-04-02 15:18:14,"0,843s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/textarea_Descripcion""), ""Bogota - Terminal - Informacion"")",Chrome 123.0.0.0,,,2024-04-02 15:18:14,2024-04-02 15:18:15,"0,840s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/Label/label_Mostrar ventana emergente""), 2)",Chrome 123.0.0.0,,,2024-04-02 15:18:15,2024-04-02 15:18:15,"0,397s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/Label/label_Mostrar ventana emergente""))",Chrome 123.0.0.0,,,2024-04-02 15:18:15,2024-04-02 15:18:16,"0,454s",PASSED
"scrollToPosition(0, 0)",Chrome 123.0.0.0,,,2024-04-02 15:18:16,2024-04-02 15:18:16,"0,029s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-02 15:18:16,2024-04-02 15:18:18,"2,015s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/img_Nuevo""))",Chrome 123.0.0.0,,,2024-04-02 15:18:18,2024-04-02 15:18:18,"0,418s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:18:18,2024-04-02 15:18:21,"3,018s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Terminales""))",Chrome 123.0.0.0,inicio Bogota Ciel PQRS,,2024-04-02 15:18:21,2024-04-02 15:18:22,"0,579s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:18:22,2024-04-02 15:18:25,"3,010s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/0OficinasModal/td_1Bogota - CIEL""))",Chrome 123.0.0.0,,,2024-04-02 15:18:25,2024-04-02 15:18:25,"0,443s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:18:25,2024-04-02 15:18:28,"3,000s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_SeleccionarGrupo""))",Chrome 123.0.0.0,,,2024-04-02 15:18:28,2024-04-02 15:18:28,"0,433s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:18:28,2024-04-02 15:18:31,"3,011s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_Seleccionar Grupo(1)/a_Grupo PQRS""))",Chrome 123.0.0.0,,,2024-04-02 15:18:31,2024-04-02 15:18:32,"0,488s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/input_Nombre""), 2)",Chrome 123.0.0.0,,,2024-04-02 15:18:32,2024-04-02 15:18:33,"0,828s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/input_Nombre""), ""A02"")",Chrome 123.0.0.0,,,2024-04-02 15:18:33,2024-04-02 15:18:34,"0,818s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/textarea_Descripcion""), ""Bogota - Terminal - PQRS"")",Chrome 123.0.0.0,,,2024-04-02 15:18:34,2024-04-02 15:18:34,"0,823s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/Label/label_Mostrar ventana emergente""), 2)",Chrome 123.0.0.0,,,2024-04-02 15:18:34,2024-04-02 15:18:35,"0,369s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/input_Direccion en sala""), ""2"")",Chrome 123.0.0.0,,,2024-04-02 15:18:35,2024-04-02 15:18:36,"0,852s",PASSED
