Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.3 Crear Grupos Chipichape,Chrome 123.0.0.0,,,2024-04-02 15:04:17,2024-04-02 15:05:42,"1m - 24,472s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/3Grupos/5.3 Crear Grupos Chipichape,Chrome 123.0.0.0,,,2024-04-02 15:04:17,2024-04-02 15:05:42,"1m - 24,204s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-02 15:04:18,2024-04-02 15:04:30,"12,060s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 123.0.0.0,,,2024-04-02 15:04:30,2024-04-02 15:04:30,"0,621s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:04:30,2024-04-02 15:04:33,"3,020s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Grupos""))",Chrome 123.0.0.0,,,2024-04-02 15:04:33,2024-04-02 15:04:34,"0,646s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:04:34,2024-04-02 15:04:37,"3,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala""))",Chrome 123.0.0.0,Se escoge sala Chipichape - Sala General,,2024-04-02 15:04:37,2024-04-02 15:04:38,"0,495s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:04:38,2024-04-02 15:04:41,"3,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala(1)/a_2Chipichape - Sala General""))",Chrome 123.0.0.0,,,2024-04-02 15:04:41,2024-04-02 15:04:41,"0,396s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:04:41,2024-04-02 15:04:44,"3,011s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/input_Nombre""), ""Grupo Información"")",Chrome 123.0.0.0,,,2024-04-02 15:04:44,2024-04-02 15:04:45,"0,825s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/textarea_Descripcion""), ""Chipichape - Grupo Información"")",Chrome 123.0.0.0,,,2024-04-02 15:04:45,2024-04-02 15:04:46,"0,809s",PASSED
"scrollToPosition(0, 800)",Chrome 123.0.0.0,,,2024-04-02 15:04:46,2024-04-02 15:04:46,"0,024s",PASSED
