Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4.3 Crear Elementos Geograficos Ciudades,Chrome 123.0.0.0,,,2024-04-02 14:36:42,2024-04-02 14:37:45,"1m - 3,325s",PASSED
,,,,,,,
Test Cases/WIZARD/2Estructura Geografica/4.3 Crear Elementos Geograficos Ciudades,Chrome 123.0.0.0,,,2024-04-02 14:36:42,2024-04-02 14:37:45,"1m - 3,074s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-02 14:36:42,2024-04-02 14:36:54,"12,061s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_EstructuraGeograficaMAX""))",Chrome 123.0.0.0,,,2024-04-02 14:36:54,2024-04-02 14:36:55,"0,530s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:36:55,2024-04-02 14:36:58,"3,013s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/0Arbol Geografico/span_Elementos geograficos""))",Chrome 123.0.0.0,,,2024-04-02 14:36:58,2024-04-02 14:36:58,"0,505s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:36:59,2024-04-02 14:37:02,"3,014s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Niveles Geograficos/option_Departamento""))",Chrome 123.0.0.0,,,2024-04-02 14:37:02,2024-04-02 14:37:02,"0,491s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Niveles Geograficos/option_Ciudad""))",Chrome 123.0.0.0,Para crear la ciudad Bogota,,2024-04-02 14:37:02,2024-04-02 14:37:03,"0,626s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Elementos Geograficos/select_Nombre nivel""), ""Cundinamarca"", false)",Chrome 123.0.0.0,,,2024-04-02 14:37:03,2024-04-02 14:37:03,"0,866s",PASSED
"setText(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Edicion Elemento Geografico/input_Nombre elemento""), ""Bogota"")",Chrome 123.0.0.0,,,2024-04-02 14:37:03,2024-04-02 14:37:04,"0,804s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Edicion Elemento Geografico/btn_Nuevo""))",Chrome 123.0.0.0,,,2024-04-02 14:37:04,2024-04-02 14:37:05,"0,412s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:37:05,2024-04-02 14:37:08,"3,013s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Niveles Geograficos/option_Ciudad""))",Chrome 123.0.0.0,Para crear la ciudad Cali,,2024-04-02 14:37:08,2024-04-02 14:37:08,"0,392s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Elementos Geograficos/select_Nombre nivel""), ""Valle del Cauca"", false)",Chrome 123.0.0.0,,,2024-04-02 14:37:08,2024-04-02 14:37:09,"0,702s",PASSED
"setText(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Edicion Elemento Geografico/input_Nombre elemento""), ""Cali"")",Chrome 123.0.0.0,,,2024-04-02 14:37:09,2024-04-02 14:37:10,"1,026s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Edicion Elemento Geografico/btn_Nuevo""))",Chrome 123.0.0.0,,,2024-04-02 14:37:10,2024-04-02 14:37:10,"0,402s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:37:10,2024-04-02 14:37:13,"3,009s",PASSED
