Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.3 Crear Grupos Virtual,Chrome 115.0.0.0,,,2023-08-14 11:13:51,2023-08-14 11:15:19,"1m - 28,001s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/3Grupos/5.3 Crear Grupos Virtual,Chrome 115.0.0.0,,,2023-08-14 11:13:51,2023-08-14 11:15:19,"1m - 27,707s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 11:13:52,2023-08-14 11:14:04,"11,865s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 115.0.0.0,,,2023-08-14 11:14:04,2023-08-14 11:14:07,"3,605s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:14:07,2023-08-14 11:14:10,"3,003s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Grupos""))",Chrome 115.0.0.0,,,2023-08-14 11:14:10,2023-08-14 11:14:11,"0,821s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:14:11,2023-08-14 11:14:14,"3,005s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala""))",Chrome 115.0.0.0,Se escoge sala Virtual - Sala General,,2023-08-14 11:14:14,2023-08-14 11:14:15,"0,481s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:14:15,2023-08-14 11:14:18,"3,007s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala(1)/a_6Virtual - Sala General""))",Chrome 115.0.0.0,,,2023-08-14 11:14:18,2023-08-14 11:14:18,"0,452s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:14:18,2023-08-14 11:14:21,"3,013s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/input_Nombre""), ""Grupo Información"")",Chrome 115.0.0.0,,,2023-08-14 11:14:21,2023-08-14 11:14:22,"0,799s",PASSED
