Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.4 Crear Selectores,Chrome 120.0.0.0,,,2024-01-15 10:15:14,2024-01-15 10:17:03,"1m - 49,169s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/4Selectores/5.4 Crear Selectores,Chrome 120.0.0.0,,,2024-01-15 10:15:14,2024-01-15 10:17:03,"1m - 48,915s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-15 10:15:15,2024-01-15 10:15:26,"11,411s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 120.0.0.0,,,2024-01-15 10:15:26,2024-01-15 10:15:27,"0,938s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:15:27,2024-01-15 10:15:30,"3,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Selectores""))",Chrome 120.0.0.0,,,2024-01-15 10:15:30,2024-01-15 10:15:31,"1,155s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:15:31,2024-01-15 10:15:34,"3,013s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/btn_Oficina""))",Chrome 120.0.0.0,Se escoge Oficina Bogota,,2024-01-15 10:15:34,2024-01-15 10:15:35,"0,487s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:15:35,2024-01-15 10:15:38,"3,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/btn_Oficina(1)/td_1Bogota - CIEL""))",Chrome 120.0.0.0,,,2024-01-15 10:15:38,2024-01-15 10:15:38,"0,469s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:15:38,2024-01-15 10:15:41,"3,012s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/input_Nombre""), ""Bogota Selector 01"")",Chrome 120.0.0.0,,,2024-01-15 10:15:41,2024-01-15 10:15:42,"0,888s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/textarea_Descripcion""), ""Bogota Selector 01"")",Chrome 120.0.0.0,,,2024-01-15 10:15:42,2024-01-15 10:15:43,"0,815s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/img_Nuevo""))",Chrome 120.0.0.0,,,2024-01-15 10:15:43,2024-01-15 10:15:43,"0,435s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:15:43,2024-01-15 10:15:46,"3,018s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Selectores""))",Chrome 120.0.0.0,,,2024-01-15 10:15:46,2024-01-15 10:15:47,"0,587s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:15:47,2024-01-15 10:15:50,"3,005s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/btn_Oficinas(2)/td_2Cali - Chipichape""))",Chrome 120.0.0.0,,,2024-01-15 10:15:50,2024-01-15 10:15:50,"0,467s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:15:50,2024-01-15 10:15:53,"3,015s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/input_Nombre""), ""Cali Selector 01"")",Chrome 120.0.0.0,,,2024-01-15 10:15:53,2024-01-15 10:15:54,"0,861s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/textarea_Descripcion""), ""Cali Selector 01"")",Chrome 120.0.0.0,,,2024-01-15 10:15:54,2024-01-15 10:15:55,"0,829s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/img_Nuevo""))",Chrome 120.0.0.0,,,2024-01-15 10:15:55,2024-01-15 10:15:55,"0,432s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:15:55,2024-01-15 10:15:58,"3,011s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Selectores""))",Chrome 120.0.0.0,,,2024-01-15 10:15:58,2024-01-15 10:15:59,"0,593s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:15:59,2024-01-15 10:16:02,"3,001s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/btn_Oficinas(2)/td_3Cartagena - Bocagrande""))",Chrome 120.0.0.0,,,2024-01-15 10:16:02,2024-01-15 10:16:02,"0,493s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:16:02,2024-01-15 10:16:05,"3,008s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/input_Nombre""), ""Cartagena Selector 01"")",Chrome 120.0.0.0,,,2024-01-15 10:16:05,2024-01-15 10:16:06,"0,835s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/textarea_Descripcion""), ""Cartagena Selector 01"")",Chrome 120.0.0.0,,,2024-01-15 10:16:06,2024-01-15 10:16:07,"0,803s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/img_Nuevo""))",Chrome 120.0.0.0,,,2024-01-15 10:16:07,2024-01-15 10:16:08,"0,441s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:16:08,2024-01-15 10:16:11,"3,004s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Selectores""))",Chrome 120.0.0.0,,,2024-01-15 10:16:11,2024-01-15 10:16:11,"0,554s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:16:11,2024-01-15 10:16:14,"3,009s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/btn_Oficinas(2)/td_4Manizales - Manizales""))",Chrome 120.0.0.0,,,2024-01-15 10:16:14,2024-01-15 10:16:15,"0,479s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:16:15,2024-01-15 10:16:18,"3,008s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/input_Nombre""), ""Manizales Selector 01"")",Chrome 120.0.0.0,,,2024-01-15 10:16:18,2024-01-15 10:16:18,"0,799s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/textarea_Descripcion""), ""Manizales Selector 01"")",Chrome 120.0.0.0,,,2024-01-15 10:16:18,2024-01-15 10:16:19,"0,798s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/img_Nuevo""))",Chrome 120.0.0.0,,,2024-01-15 10:16:19,2024-01-15 10:16:20,"0,394s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:16:20,2024-01-15 10:16:23,"3,012s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Selectores""))",Chrome 120.0.0.0,,,2024-01-15 10:16:23,2024-01-15 10:16:23,"0,632s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:16:23,2024-01-15 10:16:26,"3,000s",PASSED
