Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
41 Numeradores Crear Actualizar Eliminar,Chrome 123.0.0.0,,,2024-04-08 09:42:36,2024-04-08 09:44:50,"2m - 13,829s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/41 Numeradores Crear,Chrome 123.0.0.0,,,2024-04-08 09:42:36,2024-04-08 09:43:20,"43,737s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/39 Modelo de atencion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-08 09:42:37,2024-04-08 09:43:06,"29,222s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/0Principal/img_2Numeradores""))",Chrome 123.0.0.0,,,2024-04-08 09:43:06,2024-04-08 09:43:07,"0,719s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 09:43:07,2024-04-08 09:43:10,"3,014s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/2Numeradores/Edicion/input_Nombre""), ""Prueba"")",Chrome 123.0.0.0,,,2024-04-08 09:43:10,2024-04-08 09:43:11,"0,860s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/2Numeradores/Edicion/input_Numero Inicial""), ""1"")",Chrome 123.0.0.0,,,2024-04-08 09:43:11,2024-04-08 09:43:11,"0,816s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/2Numeradores/Edicion/input_Numero final""), ""500"")",Chrome 123.0.0.0,,,2024-04-08 09:43:11,2024-04-08 09:43:12,"0,830s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/2Numeradores/Edicion/input_Prefijo""), ""PR"")",Chrome 123.0.0.0,,,2024-04-08 09:43:12,2024-04-08 09:43:13,"0,833s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/2Numeradores/Edicion/img_Nuevo""))",Chrome 123.0.0.0,,,2024-04-08 09:43:13,2024-04-08 09:43:14,"0,456s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 09:43:14,2024-04-08 09:43:17,"3,014s",PASSED
takeFullPageScreenshot(),Chrome 123.0.0.0,,,2024-04-08 09:43:17,2024-04-08 09:43:17,"0,631s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 09:43:17,2024-04-08 09:43:20,"3,016s",PASSED
Start listener action : sampleAfterTestCase,Chrome 123.0.0.0,,,2024-04-08 09:43:20,2024-04-08 09:43:20,"0,000s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/41 Numeradores Actualizar,Chrome 123.0.0.0,,,2024-04-08 09:43:20,2024-04-08 09:44:04,"44,257s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/39 Modelo de atencion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-08 09:43:21,2024-04-08 09:43:47,"26,085s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/0Principal/img_2Numeradores""))",Chrome 123.0.0.0,,,2024-04-08 09:43:47,2024-04-08 09:43:47,"0,651s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 09:43:47,2024-04-08 09:43:50,"3,004s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/2Numeradores/Lista de Numeradores/input_Buscar""), ""Prueba"")",Chrome 123.0.0.0,,,2024-04-08 09:43:50,2024-04-08 09:43:51,"0,829s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/2Numeradores/Lista de Numeradores/btn_Buscar""))",Chrome 123.0.0.0,,,2024-04-08 09:43:51,2024-04-08 09:43:52,"0,423s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 09:43:52,2024-04-08 09:43:55,"3,006s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/2Numeradores/Lista de Numeradores/td_1 Seleccion Busqueda""))",Chrome 123.0.0.0,,,2024-04-08 09:43:55,2024-04-08 09:43:55,"0,464s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-08 09:43:55,2024-04-08 09:43:57,"2,002s",PASSED
"check(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/2Numeradores/Edicion/label_Rellenar""))",Chrome 123.0.0.0,,,2024-04-08 09:43:57,2024-04-08 09:43:57,"0,454s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/2Numeradores/Edicion/img_Actualizar""))",Chrome 123.0.0.0,,,2024-04-08 09:43:57,2024-04-08 09:43:58,"0,418s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 09:43:58,2024-04-08 09:44:01,"3,002s",PASSED
takeFullPageScreenshot(),Chrome 123.0.0.0,,,2024-04-08 09:44:01,2024-04-08 09:44:01,"0,562s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 09:44:01,2024-04-08 09:44:04,"3,012s",PASSED
Start listener action : sampleAfterTestCase,Chrome 123.0.0.0,,,2024-04-08 09:44:04,2024-04-08 09:44:04,"0,000s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/41 Numeradores Eliminar,Chrome 123.0.0.0,,,2024-04-08 09:44:04,2024-04-08 09:44:50,"45,551s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/39 Modelo de atencion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-08 09:44:05,2024-04-08 09:44:32,"27,530s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/0Principal/img_2Numeradores""))",Chrome 123.0.0.0,,,2024-04-08 09:44:32,2024-04-08 09:44:33,"0,728s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 09:44:33,2024-04-08 09:44:36,"3,026s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/2Numeradores/Lista de Numeradores/input_Buscar""), ""Prueba"")",Chrome 123.0.0.0,,,2024-04-08 09:44:36,2024-04-08 09:44:37,"0,813s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/2Numeradores/Lista de Numeradores/btn_Buscar""))",Chrome 123.0.0.0,,,2024-04-08 09:44:37,2024-04-08 09:44:37,"0,404s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 09:44:37,2024-04-08 09:44:40,"3,009s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/2Numeradores/Lista de Numeradores/td_1 Seleccion Busqueda""))",Chrome 123.0.0.0,,,2024-04-08 09:44:40,2024-04-08 09:44:41,"0,454s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-08 09:44:41,2024-04-08 09:44:43,"2,009s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/2Numeradores/Edicion/img_Eliminar""))",Chrome 123.0.0.0,,,2024-04-08 09:44:43,2024-04-08 09:44:43,"0,478s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/2Numeradores/Edicion/img_Eliminar""))",Chrome 123.0.0.0,,,2024-04-08 09:44:43,2024-04-08 09:44:43,"0,179s",PASSED
acceptAlert(),Chrome 123.0.0.0,,,2024-04-08 09:44:43,2024-04-08 09:44:43,"0,049s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 09:44:43,2024-04-08 09:44:46,"3,004s",PASSED
takeFullPageScreenshot(),Chrome 123.0.0.0,,,2024-04-08 09:44:46,2024-04-08 09:44:47,"0,532s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 09:44:47,2024-04-08 09:44:50,"3,006s",PASSED
Start listener action : sampleAfterTestCase,Chrome 123.0.0.0,,,2024-04-08 09:44:50,2024-04-08 09:44:50,"0,000s",PASSED
