Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.3 Crear Grupos Manizales,Chrome 115.0.0.0,,,2023-08-14 11:10:39,2023-08-14 11:12:04,"1m - 24,588s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/3Grupos/5.3 Crear Grupos Manizales,Chrome 115.0.0.0,,,2023-08-14 11:10:39,2023-08-14 11:12:04,"1m - 24,352s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 11:10:40,2023-08-14 11:10:51,"11,144s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 115.0.0.0,,,2023-08-14 11:10:51,2023-08-14 11:10:52,"1,518s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:10:52,2023-08-14 11:10:55,"3,008s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Grupos""))",Chrome 115.0.0.0,,,2023-08-14 11:10:55,2023-08-14 11:10:56,"0,787s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:10:56,2023-08-14 11:10:59,"3,003s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala""))",Chrome 115.0.0.0,Se escoge sala Manizales - Sala General,,2023-08-14 11:10:59,2023-08-14 11:11:00,"0,470s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:11:00,2023-08-14 11:11:03,"3,009s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala(1)/a_4Manizales - Sala General""))",Chrome 115.0.0.0,,,2023-08-14 11:11:03,2023-08-14 11:11:03,"0,501s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:11:03,2023-08-14 11:11:06,"3,018s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/input_Nombre""), ""Grupo Información"")",Chrome 115.0.0.0,,,2023-08-14 11:11:06,2023-08-14 11:11:07,"0,829s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/textarea_Descripcion""), ""Manizales - Grupo Información"")",Chrome 115.0.0.0,,,2023-08-14 11:11:07,2023-08-14 11:11:08,"0,827s",PASSED
"scrollToPosition(0, 800)",Chrome 115.0.0.0,,,2023-08-14 11:11:08,2023-08-14 11:11:08,"0,041s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/select_Nivel de visualizacion en Transferencias""), ""Área"", false)",Chrome 115.0.0.0,,,2023-08-14 11:11:08,2023-08-14 11:11:09,"0,807s",PASSED
