Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
0 Generar Turno,Chrome 115.0.0.0,,,2023-08-14 13:53:45,2023-08-14 13:56:48,"3m - 2,487s",PASSED
,,,,,,,
Test Cases/DIGITURNO/OPERACION BASICA/0 Generar Turno,Chrome 115.0.0.0,,,2023-08-14 13:53:45,2023-08-14 13:56:48,"3m - 2,197s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 13:53:46,2023-08-14 13:53:59,"12,796s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:53:59,2023-08-14 13:54:02,"3,008s",PASSED
"click(findTestObject(""DIGITURNO/1Principal/img_Operacion(1)""))",Chrome 115.0.0.0,,,2023-08-14 13:54:02,2023-08-14 13:54:10,"7,927s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:54:10,2023-08-14 13:54:13,"3,003s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/0Principal/Elementos del Sistema/img_Selectores""))",Chrome 115.0.0.0,,,2023-08-14 13:54:13,2023-08-14 13:54:16,"3,693s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:54:16,2023-08-14 13:54:19,"3,008s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/1Selectores/Oficinas/td_1Bogota - CIEL""))",Chrome 115.0.0.0,Escogemos oficina,,2023-08-14 13:54:19,2023-08-14 13:54:20,"0,470s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:54:20,2023-08-14 13:54:23,"3,005s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/1Selectores/Lista de Selectores/td_Selector 01""))",Chrome 115.0.0.0,Abrimos selector,,2023-08-14 13:54:23,2023-08-14 13:54:23,"0,450s",PASSED
delay(5),Chrome 115.0.0.0,,,2023-08-14 13:54:23,2023-08-14 13:54:28,"5,017s",PASSED
switchToWindowIndex(1),Chrome 115.0.0.0,Para ir a la ventana del selector abierto,,2023-08-14 13:54:28,2023-08-14 13:54:28,"0,067s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 13:54:28,2023-08-14 13:54:30,"2,017s",PASSED
"setText(findTestObject(""DIGITURNO/OPERACION/1Selectores/Selector/Jerarquia/input_cajaBusqueda""), ""info"")",Chrome 115.0.0.0,Buscar por jerarquia,,2023-08-14 13:54:30,2023-08-14 13:54:48,"17,645s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:54:48,2023-08-14 13:54:51,"3,003s",PASSED
for (def index : (1..12)),Chrome 115.0.0.0,,,2023-08-14 13:54:51,2023-08-14 13:56:40,"1m - 49,071s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/1Selectores/Selector/0Informacion de Selector/img_Cerrar""))",Chrome 115.0.0.0,,,2023-08-14 13:56:40,2023-08-14 13:56:41,"0,588s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:56:41,2023-08-14 13:56:44,"3,018s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/1Selectores/Selector/0Informacion de Selector/img_Cerrar(1)/btn_4FindeJornada_8""))",Chrome 115.0.0.0,,,2023-08-14 13:56:44,2023-08-14 13:56:45,"1,028s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:56:45,2023-08-14 13:56:48,"3,009s",PASSED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 13:56:48,2023-08-14 13:56:48,"0,011s",PASSED
