Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.2 Crear Manizales - Sala General,Chrome 115.0.0.0,,,2023-08-14 10:56:57,2023-08-14 10:57:51,"53,417s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/2Salas/5.2 Crear Manizales - Sala General,Chrome 115.0.0.0,,,2023-08-14 10:56:58,2023-08-14 10:57:51,"53,187s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 10:56:58,2023-08-14 10:57:09,"11,092s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 115.0.0.0,,,2023-08-14 10:57:09,2023-08-14 10:57:10,"1,349s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:57:10,2023-08-14 10:57:13,"3,007s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Salas""))",Chrome 115.0.0.0,,,2023-08-14 10:57:13,2023-08-14 10:57:14,"0,859s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:57:14,2023-08-14 10:57:17,"3,004s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/btn_SeleccionarOficina""))",Chrome 115.0.0.0,Se escoge oficina Manizales para crear Manizales - Sala General,,2023-08-14 10:57:17,2023-08-14 10:57:18,"0,467s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 10:57:18,2023-08-14 10:57:20,"2,015s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/btn_Seleccionar Oficina(1)/a_Manizales - Manizales""))",Chrome 115.0.0.0,,,2023-08-14 10:57:20,2023-08-14 10:57:20,"0,444s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 10:57:20,2023-08-14 10:57:22,"2,008s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_Nombre""), ""Manizales - Sala General"")",Chrome 115.0.0.0,,,2023-08-14 10:57:22,2023-08-14 10:57:23,"0,760s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/textarea_Descripcion""), ""Manizales - Sala General"")",Chrome 115.0.0.0,,,2023-08-14 10:57:23,2023-08-14 10:57:24,"0,769s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_MaximoOcupacion""), ""100"")",Chrome 115.0.0.0,,,2023-08-14 10:57:24,2023-08-14 10:57:24,"0,752s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_Tiempo de Abandono HH""), ""4"")",Chrome 115.0.0.0,,,2023-08-14 10:57:24,2023-08-14 10:57:25,"0,783s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Label/label_Habilitar Agendamiento""), 2)",Chrome 115.0.0.0,,,2023-08-14 10:57:25,2023-08-14 10:57:26,"0,418s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:57:26,2023-08-14 10:57:29,"3,002s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Promesa de Espera/input_Minutos promesa de espera""), ""10"")",Chrome 115.0.0.0,,,2023-08-14 10:57:29,2023-08-14 10:57:29,"0,809s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Promesa de atencion/input_Minutos Promesa Atencion""), ""5"")",Chrome 115.0.0.0,,,2023-08-14 10:57:29,2023-08-14 10:57:30,"0,765s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Label/label_Habilitar Agendamiento""))",Chrome 115.0.0.0,,,2023-08-14 10:57:30,2023-08-14 10:57:31,"0,479s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:57:31,2023-08-14 10:57:34,"3,006s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/AgendamientoLlamado/Intervalo creacion/input_Minutos Intervalo Creacion""), ""2"")",Chrome 115.0.0.0,,,2023-08-14 10:57:34,2023-08-14 10:57:34,"0,775s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/AgendamientoLlamado/Tiempo Limite Creacion/input_Minutos Tiempo Limite Creacion""), ""2"")",Chrome 115.0.0.0,,,2023-08-14 10:57:34,2023-08-14 10:57:35,"0,786s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Label/label_Paso a distraido""))",Chrome 115.0.0.0,,,2023-08-14 10:57:35,2023-08-14 10:57:36,"0,426s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:57:36,2023-08-14 10:57:39,"3,010s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Distraidos/Tiempo Automatico a distraido/input_Tiempo automatico a distrado MM""), ""1"")",Chrome 115.0.0.0,,,2023-08-14 10:57:39,2023-08-14 10:57:40,"0,798s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Distraidos/Tiempo de Rellamado/input_Tiempo de Rellamado MM""), ""1"")",Chrome 115.0.0.0,,,2023-08-14 10:57:40,2023-08-14 10:57:40,"0,811s",PASSED
"scrollToPosition(0, 0)",Chrome 115.0.0.0,,,2023-08-14 10:57:40,2023-08-14 10:57:40,"0,054s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:57:40,2023-08-14 10:57:43,"3,001s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/img_Nuevo""))",Chrome 115.0.0.0,,,2023-08-14 10:57:43,2023-08-14 10:57:44,"0,469s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:57:44,2023-08-14 10:57:47,"3,008s",PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-14 10:57:47,2023-08-14 10:57:48,"0,914s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:57:48,2023-08-14 10:57:51,"3,007s",PASSED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 10:57:51,2023-08-14 10:57:51,"0,000s",PASSED
