Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4.2 Crear Elementos Geograficos Departamento,Chrome 120.0.0.0,,,2024-01-15 09:39:01,2024-01-15 09:40:18,"1m - 17,210s",PASSED
,,,,,,,
Test Cases/WIZARD/2Estructura Geografica/4.2 Crear Elementos Geograficos Departamento,Chrome 120.0.0.0,,,2024-01-15 09:39:01,2024-01-15 09:40:18,"1m - 16,937s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-15 09:39:01,2024-01-15 09:39:13,"11,368s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_EstructuraGeograficaMAX""))",Chrome 120.0.0.0,,,2024-01-15 09:39:13,2024-01-15 09:39:14,"0,774s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:39:14,2024-01-15 09:39:17,"3,018s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/0Arbol Geografico/span_Elementos geograficos""))",Chrome 120.0.0.0,,,2024-01-15 09:39:17,2024-01-15 09:39:17,"0,589s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:39:17,2024-01-15 09:39:20,"3,013s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Niveles Geograficos/option_Departamento""))",Chrome 120.0.0.0,Para crear departamento 1,,2024-01-15 09:39:20,2024-01-15 09:39:21,"0,452s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:39:21,2024-01-15 09:39:24,"3,005s",PASSED
"setText(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Edicion Elemento Geografico/input_Nombre elemento""), ""Cundinamarca"")",Chrome 120.0.0.0,Ingresamos Cundinamarca,,2024-01-15 09:39:24,2024-01-15 09:39:25,"0,845s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Edicion Elemento Geografico/btn_Nuevo""))",Chrome 120.0.0.0,,,2024-01-15 09:39:25,2024-01-15 09:39:25,"0,435s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:39:25,2024-01-15 09:39:28,"3,018s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Niveles Geograficos/option_Departamento""))",Chrome 120.0.0.0,Para crear departamento 2,,2024-01-15 09:39:28,2024-01-15 09:39:28,"0,454s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:39:28,2024-01-15 09:39:31,"3,002s",PASSED
"setText(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Edicion Elemento Geografico/input_Nombre elemento""), ""Valle del Cauca"")",Chrome 120.0.0.0,Ingresamos Valle del Cauca,,2024-01-15 09:39:31,2024-01-15 09:39:32,"0,871s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Edicion Elemento Geografico/btn_Nuevo""))",Chrome 120.0.0.0,,,2024-01-15 09:39:32,2024-01-15 09:39:33,"0,447s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:39:33,2024-01-15 09:39:36,"3,012s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/2Elementos Geograficos/Niveles Geograficos/option_Departamento""))",Chrome 120.0.0.0,Para crear departamento 3,,2024-01-15 09:39:36,2024-01-15 09:39:36,"0,423s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:39:36,2024-01-15 09:39:39,"3,006s",PASSED
