Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.6 Crear Tableros,Chrome 120.0.0.0,,,2024-01-15 10:31:49,2024-01-15 10:34:40,"2m - 51,341s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/6Tableros/5.6 Crear Tableros,Chrome 120.0.0.0,,,2024-01-15 10:31:49,2024-01-15 10:34:40,"2m - 51,115s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-15 10:31:49,2024-01-15 10:32:01,"11,296s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 120.0.0.0,,,2024-01-15 10:32:01,2024-01-15 10:32:02,"0,910s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:32:02,2024-01-15 10:32:05,"3,013s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Tableros""))",Chrome 120.0.0.0,Inicio Proceso Bogota,,2024-01-15 10:32:05,2024-01-15 10:32:06,"1,390s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:32:06,2024-01-15 10:32:09,"3,013s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/0OficinaModal/a_x(Cerrar)""))",Chrome 120.0.0.0,Inicio Creacion Tablero Bogota,,2024-01-15 10:32:09,2024-01-15 10:32:09,"0,456s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:32:09,2024-01-15 10:32:12,"3,005s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/btn_SeleccionarOficina""))",Chrome 120.0.0.0,Inicio Creacion Tablero Bogota,,2024-01-15 10:32:12,2024-01-15 10:32:13,"0,489s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:32:13,2024-01-15 10:32:16,"3,005s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/btn_Seleccionar Oficina(1)/td_1Bogota - CIEL""))",Chrome 120.0.0.0,Inicio Creacion Tablero Bogota,,2024-01-15 10:32:16,2024-01-15 10:32:16,"0,454s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:32:16,2024-01-15 10:32:19,"3,001s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/input_Nombre""), ""Bogota - Tablero - 1 "")",Chrome 120.0.0.0,,,2024-01-15 10:32:19,2024-01-15 10:32:20,"0,829s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/textarea_Descripcion""), ""Bogota - Tablero - 1"")",Chrome 120.0.0.0,,,2024-01-15 10:32:20,2024-01-15 10:32:21,"0,878s",PASSED
"scrollToPosition(0, 0)",Chrome 120.0.0.0,,,2024-01-15 10:32:21,2024-01-15 10:32:21,"0,025s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 10:32:21,2024-01-15 10:32:23,"2,005s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/img_Nuevo""))",Chrome 120.0.0.0,,,2024-01-15 10:32:23,2024-01-15 10:32:24,"0,482s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:32:24,2024-01-15 10:32:27,"3,003s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Tableros""))",Chrome 120.0.0.0,Inicio Proceso Cali,,2024-01-15 10:32:27,2024-01-15 10:32:27,"0,682s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:32:27,2024-01-15 10:32:30,"3,006s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/0OficinaModal/a_x(Cerrar)""))",Chrome 120.0.0.0,,,2024-01-15 10:32:30,2024-01-15 10:32:31,"0,497s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:32:31,2024-01-15 10:32:34,"3,019s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/btn_SeleccionarOficina""))",Chrome 120.0.0.0,,,2024-01-15 10:32:34,2024-01-15 10:32:34,"0,499s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:32:34,2024-01-15 10:32:37,"3,017s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/btn_Seleccionar Oficina(1)/td_2Cali - Chipichape""))",Chrome 120.0.0.0,,,2024-01-15 10:32:37,2024-01-15 10:32:38,"0,482s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:32:38,2024-01-15 10:32:41,"3,002s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/input_Nombre""), 2)",Chrome 120.0.0.0,,,2024-01-15 10:32:41,2024-01-15 10:32:41,"0,406s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/input_Nombre""), ""Cali - Tablero - 1 "")",Chrome 120.0.0.0,,,2024-01-15 10:32:41,2024-01-15 10:32:42,"0,810s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/textarea_Descripcion""), ""Cali - Tablero - 1"")",Chrome 120.0.0.0,,,2024-01-15 10:32:42,2024-01-15 10:32:43,"0,763s",PASSED
"scrollToPosition(0, 0)",Chrome 120.0.0.0,,,2024-01-15 10:32:43,2024-01-15 10:32:43,"0,018s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 10:32:43,2024-01-15 10:32:45,"2,008s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/img_Nuevo""))",Chrome 120.0.0.0,,,2024-01-15 10:32:45,2024-01-15 10:32:45,"0,442s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:32:45,2024-01-15 10:32:48,"3,006s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Tableros""))",Chrome 120.0.0.0,Inicio Proceso Cartagena,,2024-01-15 10:32:48,2024-01-15 10:32:49,"0,647s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:32:49,2024-01-15 10:32:52,"3,007s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/0OficinaModal/a_x(Cerrar)""))",Chrome 120.0.0.0,,,2024-01-15 10:32:52,2024-01-15 10:32:52,"0,474s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:32:52,2024-01-15 10:32:55,"3,009s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/btn_SeleccionarOficina""))",Chrome 120.0.0.0,,,2024-01-15 10:32:55,2024-01-15 10:32:56,"0,470s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:32:56,2024-01-15 10:32:59,"3,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/btn_Seleccionar Oficina(1)/td_3Cartagena - Bocagrande""))",Chrome 120.0.0.0,,,2024-01-15 10:32:59,2024-01-15 10:32:59,"0,519s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:32:59,2024-01-15 10:33:02,"3,015s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/input_Nombre""), 2)",Chrome 120.0.0.0,,,2024-01-15 10:33:02,2024-01-15 10:33:03,"0,420s",PASSED
