Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.1 Crear Oficina Manizales,Chrome 123.0.0.0,,,2024-04-02 14:44:49,2024-04-02 14:45:49,"1m - 0,231s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/1Oficinas/5.1 Crear Oficina Manizales,Chrome 123.0.0.0,,,2024-04-02 14:44:49,2024-04-02 14:45:49,"59,929s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-02 14:44:50,2024-04-02 14:45:02,"12,023s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 123.0.0.0,,,2024-04-02 14:45:02,2024-04-02 14:45:02,"0,704s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:45:02,2024-04-02 14:45:05,"3,017s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Oficinas""))",Chrome 123.0.0.0,,,2024-04-02 14:45:05,2024-04-02 14:45:06,"1,102s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:45:06,2024-04-02 14:45:09,"3,003s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Pais""), ""Colombia"", false)",Chrome 123.0.0.0,,,2024-04-02 14:45:09,2024-04-02 14:45:10,"0,729s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-02 14:45:10,2024-04-02 14:45:12,"2,003s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Departamento""), ""Caldas"", false)",Chrome 123.0.0.0,,,2024-04-02 14:45:12,2024-04-02 14:45:13,"0,734s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-02 14:45:13,2024-04-02 14:45:15,"2,013s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Ciudad""), ""Manizales"", false)",Chrome 123.0.0.0,,,2024-04-02 14:45:15,2024-04-02 14:45:16,"0,711s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-02 14:45:16,2024-04-02 14:45:18,"2,017s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/input_Nombre""), ""Manizales - Manizales"")",Chrome 123.0.0.0,Oficina Manizales - Manizales,,2024-04-02 14:45:18,2024-04-02 14:45:19,"0,834s",PASSED
