Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
90 Administracion Rapida de Terminales,Chrome 123.0.0.0,,,2024-04-08 10:04:41,2024-04-08 10:05:26,"45,134s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/90 Administracion Rapida de Terminales,Chrome 123.0.0.0,,,2024-04-08 10:04:41,2024-04-08 10:05:26,"44,867s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/39 Modelo de atencion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-08 10:04:41,2024-04-08 10:05:08,"26,211s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/0Principal/img_4Gestion Rapida Terminales""))",Chrome 123.0.0.0,,,2024-04-08 10:05:08,2024-04-08 10:05:08,"0,699s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 10:05:08,2024-04-08 10:05:11,"3,023s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/4Adm Rapida De Terminales/a_Terminal (click)""), STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-08 10:05:11,2024-04-08 10:05:12,"0,488s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/4Adm Rapida De Terminales/Terminal/label_1 A01""))",Chrome 123.0.0.0,,,2024-04-08 10:05:12,2024-04-08 10:05:12,"0,529s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-08 10:05:12,2024-04-08 10:05:14,"2,000s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/4Adm Rapida De Terminales/a_Cola (Click)""))",Chrome 123.0.0.0,,,2024-04-08 10:05:14,2024-04-08 10:05:15,"0,518s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/4Adm Rapida De Terminales/Cola/label_1 7 - Area General - General (G) - Informacin""))",Chrome 123.0.0.0,,,2024-04-08 10:05:15,2024-04-08 10:05:15,"0,528s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-08 10:05:15,2024-04-08 10:05:17,"2,006s",PASSED
"selectOptionByIndex(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/4Adm Rapida De Terminales/select_Grupo""), 1)",Chrome 123.0.0.0,,,2024-04-08 10:05:17,2024-04-08 10:05:19,"1,258s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/4Adm Rapida De Terminales/btn_Guardar""))",Chrome 123.0.0.0,,,2024-04-08 10:05:19,2024-04-08 10:05:20,"0,787s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 10:05:20,2024-04-08 10:05:23,"3,017s",PASSED
takeFullPageScreenshot(),Chrome 123.0.0.0,,,2024-04-08 10:05:23,2024-04-08 10:05:23,"0,464s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 10:05:23,2024-04-08 10:05:26,"3,006s",PASSED
Start listener action : sampleAfterTestCase,Chrome 123.0.0.0,,,2024-04-08 10:05:26,2024-04-08 10:05:26,"0,000s",PASSED
