Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
55 Tableros Crear Actualizar Eliminar,Chrome 114.0.0.0,,,2023-07-11 12:14:16,2023-07-11 12:17:38,"3m - 21,708s",FAILED
,,,,,,,
Test Cases/DIGITURNO/BASICO/55 Tableros Crear,Chrome 114.0.0.0,,,2023-07-11 12:14:16,2023-07-11 12:15:29,"1m - 13,199s",FAILED
"callTestCase(findTestCase(""DIGITURNO/BASICO/32 Elementos del Sistema""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 12:14:16,2023-07-11 12:14:42,"25,896s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/0Principal/img_5Tableros""))",Chrome 114.0.0.0,,,2023-07-11 12:14:42,2023-07-11 12:14:43,"0,871s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:14:43,2023-07-11 12:14:45,"2,009s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/5 Tableros/0 Oficinas Modal/td_1 Bogota - CIEL""))",Chrome 114.0.0.0,,,2023-07-11 12:14:45,2023-07-11 12:14:46,"0,479s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:14:46,2023-07-11 12:14:48,"2,007s",PASSED
"scrollToPosition(0, 800)",Chrome 114.0.0.0,,,2023-07-11 12:14:48,2023-07-11 12:14:48,"0,033s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:14:48,2023-07-11 12:14:50,"2,010s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/5 Tableros/Configuracion/span_Edicion(1)/Informacion General/btn_Seleccionar Oficina""))",Chrome 114.0.0.0,,,2023-07-11 12:14:50,2023-07-11 12:14:50,"0,477s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:14:50,2023-07-11 12:14:52,"2,007s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/5 Tableros/Configuracion/span_Edicion(1)/Informacion General/btn_Seleccionar Oficina(1)/td_Bogota - CIEL""))",Chrome 114.0.0.0,,,2023-07-11 12:14:52,2023-07-11 12:14:53,"0,401s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:14:53,2023-07-11 12:14:55,"2,012s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/5 Tableros/Configuracion/span_Edicion(1)/Informacion General/input_Nombre""), ""Prueba"")",Chrome 114.0.0.0,,,2023-07-11 12:14:55,2023-07-11 12:14:55,"0,817s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/5 Tableros/Configuracion/span_Edicion(1)/Informacion General/textarea_Descripcion""), ""Prueba"")",Chrome 114.0.0.0,,,2023-07-11 12:14:55,2023-07-11 12:14:56,"0,784s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/5 Tableros/Configuracion/span_Edicion(1)/Informacion General/img_Nuevo""))",Chrome 114.0.0.0,,,2023-07-11 12:14:56,2023-07-11 12:15:29,"33,090s",FAILED
Start listener action : sampleAfterTestCase,Chrome 114.0.0.0,,,2023-07-11 12:15:29,2023-07-11 12:15:29,"0,000s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/55 Tableros Actualizar,Chrome 114.0.0.0,,,2023-07-11 12:15:29,2023-07-11 12:16:33,"1m - 4,126s",FAILED
"callTestCase(findTestCase(""DIGITURNO/BASICO/32 Elementos del Sistema""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 12:15:30,2023-07-11 12:15:54,"24,541s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/0Principal/img_5Tableros""))",Chrome 114.0.0.0,,,2023-07-11 12:15:54,2023-07-11 12:15:55,"0,678s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:15:55,2023-07-11 12:15:57,"2,012s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/5 Tableros/0 Oficinas Modal/td_1 Bogota - CIEL""))",Chrome 114.0.0.0,,,2023-07-11 12:15:57,2023-07-11 12:15:57,"0,400s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:15:57,2023-07-11 12:15:59,"2,009s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/5 Tableros/Lista de Tableros/input_TextoABuscar""), ""Prueba"")",Chrome 114.0.0.0,,,2023-07-11 12:15:59,2023-07-11 12:16:00,"0,808s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:16:00,2023-07-11 12:16:02,"2,006s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/5 Tableros/Lista de Tableros/td_1 Bogota - Tablero - 1""))",Chrome 114.0.0.0,,,2023-07-11 12:16:02,2023-07-11 12:16:33,"31,382s",FAILED
Start listener action : sampleAfterTestCase,Chrome 114.0.0.0,,,2023-07-11 12:16:33,2023-07-11 12:16:33,"0,000s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/55 Tableros Eliminar,Chrome 114.0.0.0,,,2023-07-11 12:16:33,2023-07-11 12:17:38,"1m - 4,134s",FAILED
"callTestCase(findTestCase(""DIGITURNO/BASICO/32 Elementos del Sistema""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 12:16:34,2023-07-11 12:16:58,"24,621s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/0Principal/img_5Tableros""))",Chrome 114.0.0.0,,,2023-07-11 12:16:58,2023-07-11 12:16:59,"0,687s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:16:59,2023-07-11 12:17:01,"2,008s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/5 Tableros/0 Oficinas Modal/td_1 Bogota - CIEL""))",Chrome 114.0.0.0,,,2023-07-11 12:17:01,2023-07-11 12:17:01,"0,451s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:17:01,2023-07-11 12:17:03,"2,005s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/5 Tableros/Lista de Tableros/input_TextoABuscar""), ""Prueba"")",Chrome 114.0.0.0,,,2023-07-11 12:17:03,2023-07-11 12:17:04,"0,782s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:17:04,2023-07-11 12:17:06,"2,012s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/5 Tableros/Lista de Tableros/td_1 Bogota - Tablero - 1""))",Chrome 114.0.0.0,,,2023-07-11 12:17:06,2023-07-11 12:17:38,"31,249s",FAILED
Start listener action : sampleAfterTestCase,Chrome 114.0.0.0,,,2023-07-11 12:17:38,2023-07-11 12:17:38,"0,000s",PASSED
