Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2.4 Creacion Elementos SubServicios,Chrome 120.0.0.0,,,2024-01-15 09:18:41,2024-01-15 09:23:51,"5m - 9,580s",PASSED
,,,,,,,
Test Cases/WIZARD/1Modelo De Negocio/2.4 Creacion Elementos SubServicios,Chrome 120.0.0.0,,,2024-01-15 09:18:41,2024-01-15 09:23:51,"5m - 9,295s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-15 09:18:42,2024-01-15 09:18:53,"11,291s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_ModeloDeNegocioMAX""))",Chrome 120.0.0.0,,,2024-01-15 09:18:53,2024-01-15 09:18:54,"0,794s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:18:54,2024-01-15 09:18:57,"3,007s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/00Menu/span_Elementos""))",Chrome 120.0.0.0,,,2024-01-15 09:18:57,2024-01-15 09:18:57,"0,658s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:18:57,2024-01-15 09:19:00,"3,005s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/2Elementos/Nivel/option_4Subservicio""))",Chrome 120.0.0.0,,,2024-01-15 09:19:00,2024-01-15 09:19:01,"0,409s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:19:01,2024-01-15 09:19:04,"3,010s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/2Elementos/Nivel/SubServicio/td_SUB1""))",Chrome 120.0.0.0,Actualización de Datos,,2024-01-15 09:19:04,2024-01-15 09:19:04,"0,464s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:19:04,2024-01-15 09:19:07,"3,015s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/2Elementos/Edicion de Elementos/input_Nombre Elemento""), ""Actualización de Datos"")",Chrome 120.0.0.0,,,2024-01-15 09:19:07,2024-01-15 09:19:08,"0,837s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/2Elementos/Edicion de Elementos/input_Descripcion Elemento""), ""Actualización de Datos"")",Chrome 120.0.0.0,,,2024-01-15 09:19:08,2024-01-15 09:19:09,"0,806s",PASSED
"executeJavaScript(""return document.getElementById('ContentPlaceHolder1_lnkTiempoMaxAtencion').click()"", [])",Chrome 120.0.0.0,,,2024-01-15 09:19:09,2024-01-15 09:19:09,"0,030s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 09:19:09,2024-01-15 09:19:11,"2,008s",PASSED
"executeJavaScript(""return document.getElementById('ContentPlaceHolder1_TimeSpanControlMaxTiempo_txtMinuto').value=10"", [])",Chrome 120.0.0.0,,,2024-01-15 09:19:11,2024-01-15 09:19:11,"0,021s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 09:19:11,2024-01-15 09:19:13,"2,012s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/2ModalTiempoMaxAtencion/btn_Aceptar""))",Chrome 120.0.0.0,,,2024-01-15 09:19:13,2024-01-15 09:19:13,"0,381s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:19:13,2024-01-15 09:19:16,"3,007s",PASSED
"executeJavaScript(""return document.getElementById('ContentPlaceHolder1_lnkTiempoControaldoAtencion').click()"", [])",Chrome 120.0.0.0,,,2024-01-15 09:19:16,2024-01-15 09:19:16,"0,032s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 09:19:16,2024-01-15 09:19:18,"2,013s",PASSED
"executeJavaScript(""return document.getElementById('ContentPlaceHolder1_TimeSpanControlTiempoControlado_txtMinuto').value=5"", [])",Chrome 120.0.0.0,,,2024-01-15 09:19:18,2024-01-15 09:19:18,"0,026s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 09:19:18,2024-01-15 09:19:20,"2,007s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/2Modal Tiempo Controlado de atencion/btn_Aceptar""))",Chrome 120.0.0.0,,,2024-01-15 09:19:20,2024-01-15 09:19:21,"0,408s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 09:19:21,2024-01-15 09:19:24,"3,008s",PASSED
