Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
16 Agregar Usuario,Chrome 114.0.0.0,,,2023-07-11 11:45:15,2023-07-11 11:46:09,"53,895s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/16 Agregar Usuario,Chrome 114.0.0.0,,,2023-07-11 11:45:15,2023-07-11 11:46:09,"53,644s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/5 Usuarios""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 11:45:16,2023-07-11 11:45:38,"22,191s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:45:38,2023-07-11 11:45:41,"3,002s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/0Principal/img_4Agregar Usuarios""))",Chrome 114.0.0.0,,,2023-07-11 11:45:41,2023-07-11 11:45:44,"3,289s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:45:44,2023-07-11 11:45:47,"3,004s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/4Agregar Usuarios/Informacion Principal/input_Usuario""), ""Usuario de Prueba"")",Chrome 114.0.0.0,,,2023-07-11 11:45:47,2023-07-11 11:45:48,"0,832s",PASSED
"selectOptionByLabel(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/4Agregar Usuarios/Informacion Principal/select_Perfil""), ""Consulta"", false)",Chrome 114.0.0.0,,,2023-07-11 11:45:48,2023-07-11 11:45:49,"0,762s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 11:45:49,2023-07-11 11:45:51,"2,003s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/4Agregar Usuarios/Informacion Principal/input_Nombre a mostrar""), ""Prueba"")",Chrome 114.0.0.0,,,2023-07-11 11:45:51,2023-07-11 11:45:51,"0,829s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/4Agregar Usuarios/Informacion Principal/input_Correo""), ""prueba@gmail.com"")",Chrome 114.0.0.0,,,2023-07-11 11:45:51,2023-07-11 11:45:52,"0,755s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/4Agregar Usuarios/Informacion Principal/input_NumeroCelular""), ""1234567"")",Chrome 114.0.0.0,,,2023-07-11 11:45:52,2023-07-11 11:45:53,"0,780s",PASSED
"selectOptionByIndex(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/4Agregar Usuarios/Informacion Principal/select_Pais""), ""1"", STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 11:45:53,2023-07-11 11:45:54,"1,084s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 11:45:54,2023-07-11 11:45:56,"2,013s",PASSED
"selectOptionByIndex(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/4Agregar Usuarios/Informacion Principal/select_Departamento""), ""1"", STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 11:45:56,2023-07-11 11:45:57,"1,121s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 11:45:57,2023-07-11 11:45:59,"2,011s",PASSED
"selectOptionByIndex(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/4Agregar Usuarios/Informacion Principal/select_Ciudad""), ""1"", STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 11:45:59,2023-07-11 11:46:00,"1,085s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 11:46:00,2023-07-11 11:46:02,"2,011s",PASSED
"selectOptionByIndex(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/4Agregar Usuarios/Informacion Principal/select_Oficina""), ""1"", STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 11:46:02,2023-07-11 11:46:03,"1,048s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 11:46:03,2023-07-11 11:46:05,"2,015s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/4Agregar Usuarios/Informacion Principal/img_Nuevo""))",Chrome 114.0.0.0,,,2023-07-11 11:46:05,2023-07-11 11:46:06,"0,474s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:46:06,2023-07-11 11:46:09,"3,008s",PASSED
Start listener action : sampleAfterTestCase,Chrome 114.0.0.0,,,2023-07-11 11:46:09,2023-07-11 11:46:09,"0,006s",PASSED
