Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.3 Crear Grupos Bocagrande,Chrome 120.0.0.0,,,2024-01-15 10:05:10,2024-01-15 10:06:35,"1m - 25,859s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/3Grupos/5.3 Crear Grupos Bocagrande,Chrome 120.0.0.0,,,2024-01-15 10:05:10,2024-01-15 10:06:35,"1m - 25,638s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-15 10:05:10,2024-01-15 10:05:21,"11,277s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 120.0.0.0,,,2024-01-15 10:05:21,2024-01-15 10:05:22,"0,958s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:05:22,2024-01-15 10:05:25,"3,008s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Grupos""))",Chrome 120.0.0.0,,,2024-01-15 10:05:25,2024-01-15 10:05:26,"0,714s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:05:26,2024-01-15 10:05:29,"3,006s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala""))",Chrome 120.0.0.0,Se escoge sala Bocagrande - Sala General,,2024-01-15 10:05:29,2024-01-15 10:05:30,"0,538s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:05:30,2024-01-15 10:05:33,"3,010s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala(1)/a_3Bocagrande - Sala General""))",Chrome 120.0.0.0,,,2024-01-15 10:05:33,2024-01-15 10:05:33,"0,490s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:05:33,2024-01-15 10:05:36,"3,016s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/input_Nombre""), ""Grupo Información"")",Chrome 120.0.0.0,,,2024-01-15 10:05:36,2024-01-15 10:05:37,"0,877s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/textarea_Descripcion""), ""Bocagrande - Grupo Información"")",Chrome 120.0.0.0,,,2024-01-15 10:05:37,2024-01-15 10:05:38,"0,867s",PASSED
"scrollToPosition(0, 800)",Chrome 120.0.0.0,,,2024-01-15 10:05:38,2024-01-15 10:05:38,"0,037s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/select_Nivel de visualizacion en Transferencias""), ""Área"", false)",Chrome 120.0.0.0,,,2024-01-15 10:05:38,2024-01-15 10:05:39,"0,799s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 10:05:39,2024-01-15 10:05:41,"2,010s",PASSED
