Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
0 Generar Turno,Chrome 129.0.0.0,,,2024-09-18 09:09:13,2024-09-18 09:11:23,"2m - 9,629s",PASSED
,,,,,,,
Test Cases/DIGITURNO/OPERACION BASICA TERMINAL/0 Generar Turno,Chrome 129.0.0.0,,,2024-09-18 09:09:14,2024-09-18 09:11:23,"2m - 9,368s",PASSED
"callTestCase(findTestCase(""0InicioSesionOperacionBasica""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,2024-09-18 09:09:14,2024-09-18 09:09:31,"16,764s",PASSED
delay(3),Chrome 129.0.0.0,,,2024-09-18 09:09:31,2024-09-18 09:09:34,"3,002s",PASSED
"click(findTestObject(""DIGITURNO/1Principal/img_Operacion(1)""))",Chrome 129.0.0.0,,,2024-09-18 09:09:34,2024-09-18 09:09:34,"0,621s",PASSED
delay(3),Chrome 129.0.0.0,,,2024-09-18 09:09:34,2024-09-18 09:09:37,"3,008s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/0Principal/Elementos del Sistema/img_Selectores""))",Chrome 129.0.0.0,,,2024-09-18 09:09:37,2024-09-18 09:09:38,"0,477s",PASSED
delay(3),Chrome 129.0.0.0,,,2024-09-18 09:09:38,2024-09-18 09:09:41,"3,002s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/1Selectores/Oficinas/td_1Bogota - CIEL""))",Chrome 129.0.0.0,Escogemos oficina,,2024-09-18 09:09:41,2024-09-18 09:09:41,"0,428s",PASSED
delay(3),Chrome 129.0.0.0,,,2024-09-18 09:09:41,2024-09-18 09:09:44,"3,015s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/1Selectores/Lista de Selectores/td_Selector 01""))",Chrome 129.0.0.0,Abrimos selector,,2024-09-18 09:09:44,2024-09-18 09:09:45,"0,402s",PASSED
delay(5),Chrome 129.0.0.0,,,2024-09-18 09:09:45,2024-09-18 09:09:50,"5,009s",PASSED
switchToWindowIndex(1),Chrome 129.0.0.0,Para ir a la ventana del selector abierto,,2024-09-18 09:09:50,2024-09-18 09:09:50,"0,033s",PASSED
delay(2),Chrome 129.0.0.0,,,2024-09-18 09:09:50,2024-09-18 09:09:52,"2,001s",PASSED
"setText(findTestObject(""DIGITURNO/OPERACION/1Selectores/Selector/Jerarquia/input_cajaBusqueda""), ""info"")",Chrome 129.0.0.0,Buscar por jerarquia,,2024-09-18 09:09:52,2024-09-18 09:09:53,"1,320s",PASSED
delay(3),Chrome 129.0.0.0,,,2024-09-18 09:09:53,2024-09-18 09:09:56,"3,013s",PASSED
for (def index : (1..11)),Chrome 129.0.0.0,,,2024-09-18 09:09:56,2024-09-18 09:11:15,"1m - 18,998s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/1Selectores/Selector/0Informacion de Selector/img_Cerrar""))",Chrome 129.0.0.0,,,2024-09-18 09:11:15,2024-09-18 09:11:16,"1,033s",PASSED
delay(3),Chrome 129.0.0.0,,,2024-09-18 09:11:16,2024-09-18 09:11:19,"3,009s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/1Selectores/Selector/0Informacion de Selector/img_Cerrar(1)/btn_4FindeJornada_8""))",Chrome 129.0.0.0,,,2024-09-18 09:11:19,2024-09-18 09:11:20,"0,903s",PASSED
delay(3),Chrome 129.0.0.0,,,2024-09-18 09:11:20,2024-09-18 09:11:23,"3,004s",PASSED
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,2024-09-18 09:11:23,2024-09-18 09:11:23,"0,000s",PASSED
