Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4 Crear Niveles Geograficos,Chrome 115.0.0.0,,,2023-08-14 10:31:10,2023-08-14 10:32:48,"1m - 38,305s",PASSED
,,,,,,,
Test Cases/WIZARD/2Estructura Geografica/4 Crear Niveles Geograficos,Chrome 115.0.0.0,,,2023-08-14 10:31:10,2023-08-14 10:32:48,"1m - 37,995s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 10:31:11,2023-08-14 10:31:39,"28,489s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_EstructuraGeograficaMAX""))",Chrome 115.0.0.0,,,2023-08-14 10:31:39,2023-08-14 10:32:23,"43,993s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:32:23,2023-08-14 10:32:26,"3,011s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/0Arbol Geografico/span_Niveles geograficos""))",Chrome 115.0.0.0,,,2023-08-14 10:32:26,2023-08-14 10:32:28,"1,538s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:32:28,2023-08-14 10:32:31,"3,010s",PASSED
"setText(findTestObject(""WIZARD/2Estructura Geografica/1Niveles Geograficos/Edicion de niveles geograficos/input_Nombre""), ""Pais"")",Chrome 115.0.0.0,Ingresamos Pais,,2023-08-14 10:32:31,2023-08-14 10:32:31,"0,846s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/1Niveles Geograficos/Edicion de niveles geograficos/btn_Crear""))",Chrome 115.0.0.0,,,2023-08-14 10:32:31,2023-08-14 10:32:32,"0,428s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:32:32,2023-08-14 10:32:35,"3,006s",PASSED
"setText(findTestObject(""WIZARD/2Estructura Geografica/1Niveles Geograficos/Edicion de niveles geograficos/input_Nombre""), ""Departamento"")",Chrome 115.0.0.0,Ingresamos Departamento,,2023-08-14 10:32:35,2023-08-14 10:32:36,"1,640s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/1Niveles Geograficos/Edicion de niveles geograficos/btn_Crear""))",Chrome 115.0.0.0,,,2023-08-14 10:32:36,2023-08-14 10:32:37,"0,419s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:32:37,2023-08-14 10:32:40,"3,013s",PASSED
"setText(findTestObject(""WIZARD/2Estructura Geografica/1Niveles Geograficos/Edicion de niveles geograficos/input_Nombre""), ""Ciudad"")",Chrome 115.0.0.0,Ingresamos Ciudad,,2023-08-14 10:32:40,2023-08-14 10:32:41,"0,792s",PASSED
"click(findTestObject(""WIZARD/2Estructura Geografica/1Niveles Geograficos/Edicion de niveles geograficos/btn_Crear""))",Chrome 115.0.0.0,,,2023-08-14 10:32:41,2023-08-14 10:32:41,"0,429s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:32:41,2023-08-14 10:32:44,"3,010s",PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-14 10:32:44,2023-08-14 10:32:45,"0,985s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:32:45,2023-08-14 10:32:48,"3,010s",PASSED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 10:32:48,2023-08-14 10:32:48,"0,015s",PASSED
