Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.1 Crear Oficina Virtual,Chrome 122.0.0.0,,,2024-03-11 10:18:58,2024-03-11 10:19:57,"59,290s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/1Oficinas/5.1 Crear Oficina Virtual,Chrome 122.0.0.0,,,2024-03-11 10:18:58,2024-03-11 10:19:57,"59,057s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,2024-03-11 10:18:58,2024-03-11 10:19:10,"11,855s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 122.0.0.0,,,2024-03-11 10:19:10,2024-03-11 10:19:11,"0,625s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:19:11,2024-03-11 10:19:14,"3,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Oficinas""))",Chrome 122.0.0.0,,,2024-03-11 10:19:14,2024-03-11 10:19:15,"0,839s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:19:15,2024-03-11 10:19:18,"3,013s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Pais""), ""Colombia"", false)",Chrome 122.0.0.0,,,2024-03-11 10:19:18,2024-03-11 10:19:18,"0,730s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 10:19:18,2024-03-11 10:19:20,"2,006s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Departamento""), ""Dpto Virtual"", false)",Chrome 122.0.0.0,,,2024-03-11 10:19:20,2024-03-11 10:19:21,"0,743s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 10:19:21,2024-03-11 10:19:23,"2,007s",PASSED
