Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
8 Buscar Turno,Chrome 123.0.0.0,,,2024-04-08 08:03:02,2024-04-08 08:04:04,"1m - 2,309s",FAILED
,,,,,,,
Test Cases/DIGITURNO/OPERACION BASICA TERMINAL/8 Buscar Turno,Chrome 123.0.0.0,,,2024-04-08 08:03:02,2024-04-08 08:04:04,"1m - 2,028s",FAILED
"callTestCase(findTestCase(""0InicioSesionOperacionBasica""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-08 08:03:02,2024-04-08 08:03:19,"16,788s",PASSED
"click(findTestObject(""DIGITURNO/1Principal/img_Operacion(1)""))",Chrome 123.0.0.0,,,2024-04-08 08:03:19,2024-04-08 08:03:20,"0,619s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 08:03:20,2024-04-08 08:03:23,"3,007s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/0Principal/Elementos del Sistema/img_Terminales""))",Chrome 123.0.0.0,,,2024-04-08 08:03:23,2024-04-08 08:03:23,"0,477s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 08:03:23,2024-04-08 08:03:26,"3,006s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Oficinas/td_1Bogota - CIEL""))",Chrome 123.0.0.0,Escogemos oficina,,2024-04-08 08:03:26,2024-04-08 08:03:27,"0,459s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 08:03:27,2024-04-08 08:03:30,"3,000s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Terminales (Menos WorkFlow)/td_1 - Terminal - Informacion""))",Chrome 123.0.0.0,Abrimos Terminal,,2024-04-08 08:03:30,2024-04-08 08:03:30,"0,433s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 08:03:30,2024-04-08 08:03:33,"3,015s",PASSED
switchToWindowIndex(1),Chrome 123.0.0.0,,,2024-04-08 08:03:33,2024-04-08 08:04:04,"30,893s",FAILED
Start listener action : sampleAfterTestCase,Chrome 123.0.0.0,,,2024-04-08 08:04:04,2024-04-08 08:04:04,"0,000s",PASSED
