Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.6 Creacion Columnas Tablero Medellin,Chrome 122.0.0.0,,,2024-03-11 11:12:29,2024-03-11 11:13:33,"1m - 4,585s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/6Tableros/5.6 Creacion Columnas Tablero Medellin,Chrome 122.0.0.0,,,2024-03-11 11:12:29,2024-03-11 11:13:33,"1m - 4,343s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,2024-03-11 11:12:29,2024-03-11 11:12:42,"12,866s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 122.0.0.0,,,2024-03-11 11:12:42,2024-03-11 11:12:43,"0,655s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 11:12:43,2024-03-11 11:12:46,"3,011s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Tableros""))",Chrome 122.0.0.0,Medellin,,2024-03-11 11:12:46,2024-03-11 11:12:47,"0,729s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 11:12:47,2024-03-11 11:12:50,"3,019s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/0OficinaModal/td_Medellin - Laureles""))",Chrome 122.0.0.0,,,2024-03-11 11:12:50,2024-03-11 11:12:50,"0,503s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 11:12:50,2024-03-11 11:12:53,"3,020s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Lista de Tableros/td_Tablero - 1""))",Chrome 122.0.0.0,,,2024-03-11 11:12:53,2024-03-11 11:12:54,"0,496s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 11:12:54,2024-03-11 11:12:57,"3,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/span_Columnas""))",Chrome 122.0.0.0,,,2024-03-11 11:12:57,2024-03-11 11:12:57,"0,465s",PASSED
