Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.6 Creacion Columnas Tablero Virtual,Chrome 114.0.0.0,,,2023-07-11 11:22:33,2023-07-11 11:23:36,"1m - 3,047s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/6Tableros/5.6 Creacion Columnas Tablero Virtual,Chrome 114.0.0.0,,,2023-07-11 11:22:33,2023-07-11 11:23:36,"1m - 2,776s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 11:22:33,2023-07-11 11:22:45,"11,104s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 114.0.0.0,,,2023-07-11 11:22:45,2023-07-11 11:22:45,"0,879s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:22:45,2023-07-11 11:22:48,"3,021s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Tableros""))",Chrome 114.0.0.0,Virtual,,2023-07-11 11:22:48,2023-07-11 11:22:49,"0,810s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:22:49,2023-07-11 11:22:52,"3,012s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/0OficinaModal/td_Virtual - Oficina Virtual""))",Chrome 114.0.0.0,,,2023-07-11 11:22:52,2023-07-11 11:22:53,"0,426s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:22:53,2023-07-11 11:22:56,"3,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Lista de Tableros/td_Tablero - 1""))",Chrome 114.0.0.0,,,2023-07-11 11:22:56,2023-07-11 11:22:56,"0,462s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:22:56,2023-07-11 11:22:59,"3,011s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/span_Columnas""))",Chrome 114.0.0.0,,,2023-07-11 11:22:59,2023-07-11 11:23:00,"0,460s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 11:23:00,2023-07-11 11:23:02,"2,007s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/input_Nombre""), ""Turno"")",Chrome 114.0.0.0,Creacion Turno,,2023-07-11 11:23:02,2023-07-11 11:23:02,"0,848s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/textarea_Descripcion""), ""Turno"")",Chrome 114.0.0.0,,,2023-07-11 11:23:02,2023-07-11 11:23:03,"0,796s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/input_Titulo""), ""Turno"")",Chrome 114.0.0.0,,,2023-07-11 11:23:03,2023-07-11 11:23:04,"0,769s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/btn_Atributos""), 2)",Chrome 114.0.0.0,,,2023-07-11 11:23:04,2023-07-11 11:23:04,"0,422s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Edicion/Label/Columnas/label_Habilitada""))",Chrome 114.0.0.0,,,2023-07-11 11:23:04,2023-07-11 11:23:05,"0,456s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/btn_Atributos""))",Chrome 114.0.0.0,,,2023-07-11 11:23:05,2023-07-11 11:23:05,"0,409s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:23:05,2023-07-11 11:23:08,"3,009s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/btn_Atributos (1)/a_Turno.Numero""))",Chrome 114.0.0.0,,,2023-07-11 11:23:08,2023-07-11 11:23:09,"0,459s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 11:23:09,2023-07-11 11:23:11,"2,017s",PASSED
"scrollToPosition(0, 0)",Chrome 114.0.0.0,,,2023-07-11 11:23:11,2023-07-11 11:23:11,"0,059s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 11:23:11,2023-07-11 11:23:13,"2,005s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/img_Nuevo""))",Chrome 114.0.0.0,,,2023-07-11 11:23:13,2023-07-11 11:23:13,"0,437s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:23:13,2023-07-11 11:23:16,"3,007s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/input_Nombre""), 2)",Chrome 114.0.0.0,,,2023-07-11 11:23:16,2023-07-11 11:23:17,"0,439s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/input_Nombre""), ""Modulo"")",Chrome 114.0.0.0,Creacion Modulo,,2023-07-11 11:23:17,2023-07-11 11:23:18,"0,811s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/textarea_Descripcion""), ""Modulo"")",Chrome 114.0.0.0,,,2023-07-11 11:23:18,2023-07-11 11:23:18,"0,810s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/input_Titulo""), ""Modulo"")",Chrome 114.0.0.0,,,2023-07-11 11:23:18,2023-07-11 11:23:19,"0,945s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/btn_Atributos""), 2)",Chrome 114.0.0.0,,,2023-07-11 11:23:19,2023-07-11 11:23:20,"0,387s",PASSED
"clearText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/input_Elementos""))",Chrome 114.0.0.0,,,2023-07-11 11:23:20,2023-07-11 11:23:20,"0,488s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/btn_Atributos""))",Chrome 114.0.0.0,,,2023-07-11 11:23:20,2023-07-11 11:23:21,"0,424s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:23:21,2023-07-11 11:23:24,"3,003s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/btn_Atributos (1)/a_Terminal.Modulo""))",Chrome 114.0.0.0,,,2023-07-11 11:23:24,2023-07-11 11:23:24,"0,446s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 11:23:24,2023-07-11 11:23:26,"2,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/btn_Orden UP""), STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 11:23:26,2023-07-11 11:23:27,"0,458s",PASSED
"scrollToPosition(0, 0)",Chrome 114.0.0.0,,,2023-07-11 11:23:27,2023-07-11 11:23:27,"0,018s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 11:23:27,2023-07-11 11:23:29,"2,010s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/img_Nuevo""))",Chrome 114.0.0.0,,,2023-07-11 11:23:29,2023-07-11 11:23:29,"0,439s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:23:29,2023-07-11 11:23:32,"3,018s",PASSED
takeFullPageScreenshot(),Chrome 114.0.0.0,,,2023-07-11 11:23:32,2023-07-11 11:23:33,"0,826s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:23:33,2023-07-11 11:23:36,"3,019s",PASSED
Start listener action : sampleAfterTestCase,Chrome 114.0.0.0,,,2023-07-11 11:23:36,2023-07-11 11:23:36,"0,000s",PASSED
