Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
24 Salas Crear Eliminar,Chrome 115.0.0.0,,,2023-08-14 14:27:41,2023-08-14 14:29:29,"1m - 47,806s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/24 Salas Crear,Chrome 115.0.0.0,,,2023-08-14 14:27:41,2023-08-14 14:28:50,"1m - 8,992s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/21 Distribucion Geografica""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:27:42,2023-08-14 14:28:04,"22,361s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/0Principal/img_3Salas""))",Chrome 115.0.0.0,,,2023-08-14 14:28:04,2023-08-14 14:28:05,"1,194s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 14:28:05,2023-08-14 14:28:07,"2,012s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/0Modal Inicial Oficinas/td_1Bogota - CIEL""))",Chrome 115.0.0.0,,,2023-08-14 14:28:07,2023-08-14 14:28:08,"0,534s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:28:08,2023-08-14 14:28:11,"3,012s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/btn_SeleccionarOficina""))",Chrome 115.0.0.0,,,2023-08-14 14:28:11,2023-08-14 14:28:11,"0,440s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:28:11,2023-08-14 14:28:14,"3,014s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/btn_SeleccionarOficina(1)/a_Bogota - CIEL""))",Chrome 115.0.0.0,,,2023-08-14 14:28:14,2023-08-14 14:28:15,"0,470s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:28:15,2023-08-14 14:28:18,"3,008s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/input_Nombre""), ""Prueba"")",Chrome 115.0.0.0,,,2023-08-14 14:28:18,2023-08-14 14:28:18,"0,835s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/textarea_Descripcion""), ""Prueba"")",Chrome 115.0.0.0,,,2023-08-14 14:28:18,2023-08-14 14:28:19,"0,780s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/input_Maximo de ocupacion""), ""100"")",Chrome 115.0.0.0,,,2023-08-14 14:28:19,2023-08-14 14:28:20,"0,799s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/input_Promesa de Espera MM""), ""5"")",Chrome 115.0.0.0,,,2023-08-14 14:28:20,2023-08-14 14:28:21,"0,769s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/input_Promesa de Atencion MM""), ""5"")",Chrome 115.0.0.0,,,2023-08-14 14:28:21,2023-08-14 14:28:22,"0,768s",PASSED
"check(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/label_Nivelar llamados en terminales""))",Chrome 115.0.0.0,,,2023-08-14 14:28:22,2023-08-14 14:28:22,"0,449s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:28:22,2023-08-14 14:28:25,"3,004s",PASSED
"check(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/label_Habilitar agendamiento""))",Chrome 115.0.0.0,,,2023-08-14 14:28:25,2023-08-14 14:28:26,"0,512s",PASSED
"scrollToElement(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/label_Habilitar agendamiento""), 2)",Chrome 115.0.0.0,,,2023-08-14 14:28:26,2023-08-14 14:28:26,"0,709s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/Agendamiento de llamado/input_Intervalo creacion MM""), ""5"")",Chrome 115.0.0.0,,,2023-08-14 14:28:26,2023-08-14 14:28:27,"0,788s",PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:28:27,2023-08-14 14:28:30,"3,027s",PASSED
"clearText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/Agendamiento de llamado/input_Tiempo Limite de creacion HH""))",Chrome 115.0.0.0,,,2023-08-14 14:28:30,2023-08-14 14:28:31,"0,414s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/Agendamiento de llamado/input_Tiempo Limite de creacion HH""), ""23"")",Chrome 115.0.0.0,,,2023-08-14 14:28:31,2023-08-14 14:28:31,"0,792s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:28:31,2023-08-14 14:28:33,"2,008s",PASSED
"clearText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/Agendamiento de llamado/input_Tiempo Limite de creacion MM""))",Chrome 115.0.0.0,,,2023-08-14 14:28:33,2023-08-14 14:28:34,"0,380s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/Agendamiento de llamado/input_Tiempo Limite de creacion MM""), ""59"")",Chrome 115.0.0.0,,,2023-08-14 14:28:34,2023-08-14 14:28:34,"0,778s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:28:34,2023-08-14 14:28:37,"3,009s",PASSED
"check(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/label_Paso a distraido""))",Chrome 115.0.0.0,,,2023-08-14 14:28:37,2023-08-14 14:28:38,"0,471s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 14:28:38,2023-08-14 14:28:40,"2,016s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/Distraidos/input_Tiempo automatico a Distraido SS""), ""45"")",Chrome 115.0.0.0,,,2023-08-14 14:28:40,2023-08-14 14:28:41,"0,819s",PASSED
delay(1),Chrome 115.0.0.0,,,2023-08-14 14:28:41,2023-08-14 14:28:42,"1,021s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/Distraidos/input_Tiempo de Rellamado MM""), ""3"")",Chrome 115.0.0.0,,,2023-08-14 14:28:42,2023-08-14 14:28:43,"0,818s",PASSED
"scrollToPosition(0, 2)",Chrome 115.0.0.0,,,2023-08-14 14:28:43,2023-08-14 14:28:43,"0,048s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/img_Nuevo""))",Chrome 115.0.0.0,,,2023-08-14 14:28:43,2023-08-14 14:28:43,"0,450s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:28:43,2023-08-14 14:28:46,"3,009s",PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-14 14:28:46,2023-08-14 14:28:47,"1,093s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:28:47,2023-08-14 14:28:50,"3,003s",PASSED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 14:28:50,2023-08-14 14:28:50,"0,016s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/24 Salas Eliminar,Chrome 115.0.0.0,,,2023-08-14 14:28:50,2023-08-14 14:29:29,"38,555s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/21 Distribucion Geografica""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:28:51,2023-08-14 14:29:12,"21,292s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/0Principal/img_3Salas""))",Chrome 115.0.0.0,,,2023-08-14 14:29:12,2023-08-14 14:29:13,"0,788s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 14:29:13,2023-08-14 14:29:15,"2,010s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/0Modal Inicial Oficinas/td_1Bogota - CIEL""))",Chrome 115.0.0.0,,,2023-08-14 14:29:15,2023-08-14 14:29:15,"0,541s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Lista de Salas/input_TextoABuscar""), ""Prueba"")",Chrome 115.0.0.0,,,2023-08-14 14:29:15,2023-08-14 14:29:17,"1,400s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 14:29:17,2023-08-14 14:29:19,"2,009s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Lista de Salas/td_1 Seleccion Busqueda""))",Chrome 115.0.0.0,,,2023-08-14 14:29:19,2023-08-14 14:29:19,"0,433s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 14:29:19,2023-08-14 14:29:21,"2,022s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/img_Eliminar""))",Chrome 115.0.0.0,,,2023-08-14 14:29:21,2023-08-14 14:29:22,"0,522s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/3Salas/Edicion/img_Eliminar""))",Chrome 115.0.0.0,,,2023-08-14 14:29:22,2023-08-14 14:29:22,"0,183s",PASSED
acceptAlert(),Chrome 115.0.0.0,,,2023-08-14 14:29:22,2023-08-14 14:29:22,"0,040s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:29:22,2023-08-14 14:29:25,"3,004s",PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-14 14:29:25,2023-08-14 14:29:26,"1,040s",PASSED
