Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.5 Crear Terminales Manizales,Chrome 115.0.0.0,,,2023-08-14 11:28:32,2023-08-14 11:29:59,"1m - 27,205s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/5Terminales/5.5 Crear Terminales Manizales,Chrome 115.0.0.0,,,2023-08-14 11:28:32,2023-08-14 11:29:59,"1m - 26,961s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 11:28:33,2023-08-14 11:28:44,"11,285s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 115.0.0.0,,,2023-08-14 11:28:44,2023-08-14 11:28:45,"1,083s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:28:45,2023-08-14 11:28:48,"3,009s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Terminales""))",Chrome 115.0.0.0,inicio Manizales informacion,,2023-08-14 11:28:48,2023-08-14 11:28:49,"0,705s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:28:49,2023-08-14 11:28:52,"3,009s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/0OficinasModal/td_4Manizales - Manizales""))",Chrome 115.0.0.0,,,2023-08-14 11:28:52,2023-08-14 11:28:52,"0,443s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:28:52,2023-08-14 11:28:55,"3,004s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_SeleccionarGrupo""))",Chrome 115.0.0.0,,,2023-08-14 11:28:55,2023-08-14 11:28:56,"0,456s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:28:56,2023-08-14 11:28:59,"3,011s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_Seleccionar Grupo(1)/a_Grupo General""))",Chrome 115.0.0.0,,,2023-08-14 11:28:59,2023-08-14 11:28:59,"0,440s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:28:59,2023-08-14 11:29:02,"3,007s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/input_Nombre""), ""A01"")",Chrome 115.0.0.0,,,2023-08-14 11:29:02,2023-08-14 11:29:03,"0,837s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/textarea_Descripcion""), ""Manizales - Terminal - Informacion"")",Chrome 115.0.0.0,,,2023-08-14 11:29:03,2023-08-14 11:29:04,"0,852s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/Label/label_Mostrar ventana emergente""), 2)",Chrome 115.0.0.0,,,2023-08-14 11:29:04,2023-08-14 11:29:04,"0,393s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/Label/label_Mostrar ventana emergente""))",Chrome 115.0.0.0,,,2023-08-14 11:29:04,2023-08-14 11:29:05,"0,456s",PASSED
"scrollToPosition(0, 0)",Chrome 115.0.0.0,,,2023-08-14 11:29:05,2023-08-14 11:29:05,"0,026s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 11:29:05,2023-08-14 11:29:07,"2,026s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/img_Nuevo""))",Chrome 115.0.0.0,,,2023-08-14 11:29:07,2023-08-14 11:29:07,"0,438s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:29:07,2023-08-14 11:29:10,"3,006s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Terminales""))",Chrome 115.0.0.0,inicio Manizales PQRS,,2023-08-14 11:29:10,2023-08-14 11:29:11,"0,669s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:29:11,2023-08-14 11:29:14,"3,002s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/0OficinasModal/td_4Manizales - Manizales""))",Chrome 115.0.0.0,,,2023-08-14 11:29:14,2023-08-14 11:29:14,"0,447s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:29:14,2023-08-14 11:29:17,"3,004s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_SeleccionarGrupo""))",Chrome 115.0.0.0,,,2023-08-14 11:29:17,2023-08-14 11:29:18,"0,495s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:29:18,2023-08-14 11:29:21,"3,011s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_Seleccionar Grupo(1)/a_Grupo PQRS""))",Chrome 115.0.0.0,,,2023-08-14 11:29:21,2023-08-14 11:29:21,"0,454s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 11:29:21,2023-08-14 11:29:24,"3,013s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/input_Nombre""), 2)",Chrome 115.0.0.0,,,2023-08-14 11:29:24,2023-08-14 11:29:25,"0,449s",PASSED
