Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.5 Crear Terminales Cali,Chrome 123.0.0.0,,,2024-04-02 15:19:16,2024-04-02 15:20:43,"1m - 26,579s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/5Terminales/5.5 Crear Terminales Cali,Chrome 123.0.0.0,,,2024-04-02 15:19:16,2024-04-02 15:20:43,"1m - 26,324s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-02 15:19:17,2024-04-02 15:19:29,"12,121s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 123.0.0.0,,,2024-04-02 15:19:29,2024-04-02 15:19:29,"0,713s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:19:29,2024-04-02 15:19:32,"3,012s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Terminales""))",Chrome 123.0.0.0,inicio Cali Informacion,,2024-04-02 15:19:32,2024-04-02 15:19:33,"0,653s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:19:33,2024-04-02 15:19:36,"3,009s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/0OficinasModal/td_2Cali - Chipichape""))",Chrome 123.0.0.0,,,2024-04-02 15:19:36,2024-04-02 15:19:37,"0,528s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:19:37,2024-04-02 15:19:40,"3,005s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_SeleccionarGrupo""))",Chrome 123.0.0.0,,,2024-04-02 15:19:40,2024-04-02 15:19:40,"0,432s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:19:40,2024-04-02 15:19:43,"3,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_Seleccionar Grupo(1)/a_Grupo General""))",Chrome 123.0.0.0,,,2024-04-02 15:19:43,2024-04-02 15:19:44,"0,498s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/input_Nombre""), 2)",Chrome 123.0.0.0,,,2024-04-02 15:19:44,2024-04-02 15:19:44,"0,834s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/input_Nombre""), ""A01"")",Chrome 123.0.0.0,,,2024-04-02 15:19:44,2024-04-02 15:19:45,"0,810s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/textarea_Descripcion""), ""Cali - Terminal - Informacion"")",Chrome 123.0.0.0,,,2024-04-02 15:19:45,2024-04-02 15:19:46,"0,837s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/Label/label_Mostrar ventana emergente""), 2)",Chrome 123.0.0.0,,,2024-04-02 15:19:46,2024-04-02 15:19:46,"0,379s",PASSED
