Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.2 Crear Sala CIEL,Chrome 123.0.0.0,,,2024-04-02 14:49:28,2024-04-02 14:50:22,"54,059s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/2Salas/5.2 Crear Sala CIEL,Chrome 123.0.0.0,,,2024-04-02 14:49:28,2024-04-02 14:50:22,"53,827s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-02 14:49:28,2024-04-02 14:49:40,"11,873s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 123.0.0.0,,,2024-04-02 14:49:40,2024-04-02 14:49:41,"0,662s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:49:41,2024-04-02 14:49:44,"3,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Salas""))",Chrome 123.0.0.0,,,2024-04-02 14:49:44,2024-04-02 14:49:45,"0,936s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:49:45,2024-04-02 14:49:48,"3,007s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/btn_SeleccionarOficina""))",Chrome 123.0.0.0,Se escoge oficina Bogota para crear CIEL - Sala General ,,2024-04-02 14:49:48,2024-04-02 14:49:48,"0,492s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-02 14:49:48,2024-04-02 14:49:50,"2,008s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/btn_Seleccionar Oficina(1)/a_Bogota - CIEL""))",Chrome 123.0.0.0,,,2024-04-02 14:49:50,2024-04-02 14:49:51,"0,467s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-02 14:49:51,2024-04-02 14:49:53,"2,013s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_Nombre""), ""CIEL - Sala General"")",Chrome 123.0.0.0,,,2024-04-02 14:49:53,2024-04-02 14:49:53,"0,856s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/textarea_Descripcion""), ""CIEL - Sala General"")",Chrome 123.0.0.0,,,2024-04-02 14:49:53,2024-04-02 14:49:54,"0,838s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_MaximoOcupacion""), ""100"")",Chrome 123.0.0.0,,,2024-04-02 14:49:54,2024-04-02 14:49:55,"0,809s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_Tiempo de Abandono HH""), ""4"")",Chrome 123.0.0.0,,,2024-04-02 14:49:55,2024-04-02 14:49:56,"0,838s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:49:56,2024-04-02 14:49:59,"3,023s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Label/label_Habilitar Agendamiento""), 2)",Chrome 123.0.0.0,,,2024-04-02 14:49:59,2024-04-02 14:49:59,"0,453s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Promesa de Espera/input_Minutos promesa de espera""), ""10"")",Chrome 123.0.0.0,Promesa en espera,,2024-04-02 14:49:59,2024-04-02 14:50:00,"0,855s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Promesa de atencion/input_Minutos Promesa Atencion""), ""5"")",Chrome 123.0.0.0,Promesa de atencion,,2024-04-02 14:50:00,2024-04-02 14:50:01,"0,836s",PASSED
