Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
31 Jornadas de Atencion Crear Actualizar Eliminar,Chrome 115.0.0.0,,,2023-08-14 14:33:39,2023-08-14 14:36:23,"2m - 44,062s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/31 Jornadas de Atencion Crear,Chrome 115.0.0.0,,,2023-08-14 14:33:39,2023-08-14 14:35:01,"1m - 21,398s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/3 Configuracion""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:33:40,2023-08-14 14:33:59,"18,981s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/0Principal/img_3Jornadas de atencion""))",Chrome 115.0.0.0,,,2023-08-14 14:33:59,2023-08-14 14:34:15,"16,471s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 14:34:15,2023-08-14 14:34:17,"2,017s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/3Jornadas de Atencion/0Modal Inicial Oficinas/td_1Bogota - CIEL""))",Chrome 115.0.0.0,,,2023-08-14 14:34:17,2023-08-14 14:34:18,"0,495s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:34:18,2023-08-14 14:34:21,"3,011s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/3Jornadas de Atencion/Edicion/btn_SeleccionarOficina""))",Chrome 115.0.0.0,,,2023-08-14 14:34:21,2023-08-14 14:34:21,"0,459s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:34:21,2023-08-14 14:34:24,"3,014s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/3Jornadas de Atencion/Edicion/btn_SeleccionarOficina(1)/td_1Bogota - CIEL""))",Chrome 115.0.0.0,,,2023-08-14 14:34:24,2023-08-14 14:34:24,"0,473s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:34:24,2023-08-14 14:34:27,"3,004s",PASSED
"check(findTestObject(""DIGITURNO/CONFIGURACION/3Jornadas de Atencion/Edicion/Label/label_Habilitada""))",Chrome 115.0.0.0,,,2023-08-14 14:34:27,2023-08-14 14:34:28,"0,532s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:34:28,2023-08-14 14:34:31,"3,013s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/3Jornadas de Atencion/Edicion/input_Nombre""), ""Prueba"")",Chrome 115.0.0.0,,,2023-08-14 14:34:31,2023-08-14 14:34:32,"0,856s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/3Jornadas de Atencion/Edicion/textarea_Descripcion""), ""Prueba"")",Chrome 115.0.0.0,,,2023-08-14 14:34:32,2023-08-14 14:34:33,"0,774s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/3Jornadas de Atencion/Edicion/input_Prioridad""), ""9"")",Chrome 115.0.0.0,Cambiar prioridad para que no se repita con otra,,2023-08-14 14:34:33,2023-08-14 14:34:33,"0,795s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/3Jornadas de Atencion/Edicion/input_Fecha inicio ddmmaaaa""), ""12/05/2022"")",Chrome 115.0.0.0,Fecha inicio Formato dd/mm/aaaa,,2023-08-14 14:34:33,2023-08-14 14:34:34,"0,898s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/3Jornadas de Atencion/Edicion/input_Fecha Inicio HH""), ""08"")",Chrome 115.0.0.0,,,2023-08-14 14:34:34,2023-08-14 14:34:36,"1,368s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/3Jornadas de Atencion/Edicion/input_Fecha Inicio MM""), ""00"")",Chrome 115.0.0.0,,,2023-08-14 14:34:36,2023-08-14 14:34:37,"0,799s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:34:37,2023-08-14 14:34:40,"3,013s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/3Jornadas de Atencion/Edicion/input_Fecha fin ddmmaaaa""), ""30/06/2022"")",Chrome 115.0.0.0,Fecha Fin Formato dd/mm/aaaa,,2023-08-14 14:34:40,2023-08-14 14:34:40,"0,871s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/3Jornadas de Atencion/Edicion/input_Fecha Fin HH""), ""18"")",Chrome 115.0.0.0,,,2023-08-14 14:34:40,2023-08-14 14:34:42,"1,384s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/3Jornadas de Atencion/Edicion/input_Fecha Fin MM""), ""00"")",Chrome 115.0.0.0,,,2023-08-14 14:34:42,2023-08-14 14:34:43,"0,764s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:34:43,2023-08-14 14:34:46,"3,012s",PASSED
"scrollToPosition(0, 700)",Chrome 115.0.0.0,,,2023-08-14 14:34:46,2023-08-14 14:34:46,"0,037s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/3Jornadas de Atencion/Edicion/Label/label_Semanal""))",Chrome 115.0.0.0,,,2023-08-14 14:34:46,2023-08-14 14:34:46,"0,454s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 14:34:46,2023-08-14 14:34:48,"2,013s",PASSED
