Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3 Distraer Turno,Chrome 123.0.0.0,,,2024-04-08 07:55:46,2024-04-08 07:56:38,"52,241s",PASSED
,,,,,,,
Test Cases/DIGITURNO/OPERACION BASICA TERMINAL/3 Distraer Turno,Chrome 123.0.0.0,,,2024-04-08 07:55:46,2024-04-08 07:56:38,"51,974s",PASSED
"callTestCase(findTestCase(""0InicioSesionOperacionBasica""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-08 07:55:47,2024-04-08 07:56:03,"16,701s",PASSED
"click(findTestObject(""DIGITURNO/1Principal/img_Operacion(1)""))",Chrome 123.0.0.0,,,2024-04-08 07:56:03,2024-04-08 07:56:04,"0,627s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:56:04,2024-04-08 07:56:07,"3,011s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/0Principal/Elementos del Sistema/img_Terminales""))",Chrome 123.0.0.0,,,2024-04-08 07:56:07,2024-04-08 07:56:08,"0,588s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:56:08,2024-04-08 07:56:11,"3,009s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Oficinas/td_1Bogota - CIEL""))",Chrome 123.0.0.0,Escogemos oficina,,2024-04-08 07:56:11,2024-04-08 07:56:11,"0,486s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:56:11,2024-04-08 07:56:14,"3,012s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Terminales (Menos WorkFlow)/td_1 - Terminal - Informacion""))",Chrome 123.0.0.0,Abrimos Terminal,,2024-04-08 07:56:14,2024-04-08 07:56:15,"0,462s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:56:15,2024-04-08 07:56:18,"3,004s",PASSED
switchToWindowIndex(1),Chrome 123.0.0.0,,,2024-04-08 07:56:18,2024-04-08 07:56:18,"0,050s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-08 07:56:18,2024-04-08 07:56:20,"2,013s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Llamar""))",Chrome 123.0.0.0,,,2024-04-08 07:56:20,2024-04-08 07:56:20,"0,437s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:56:20,2024-04-08 07:56:23,"3,009s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Distraer""))",Chrome 123.0.0.0,,,2024-04-08 07:56:23,2024-04-08 07:56:24,"1,227s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:56:24,2024-04-08 07:56:27,"3,006s",PASSED
takeFullPageScreenshot(),Chrome 123.0.0.0,,,2024-04-08 07:56:27,2024-04-08 07:56:28,"0,574s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:56:28,2024-04-08 07:56:31,"3,029s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Cerrar""))",Chrome 123.0.0.0,,,2024-04-08 07:56:31,2024-04-08 07:56:32,"0,910s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:56:32,2024-04-08 07:56:35,"3,011s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Cerrar(1)/btn_4FindeJornada_8""))",Chrome 123.0.0.0,,,2024-04-08 07:56:35,2024-04-08 07:56:35,"0,432s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:56:35,2024-04-08 07:56:38,"3,009s",PASSED
Start listener action : sampleAfterTestCase,Chrome 123.0.0.0,,,2024-04-08 07:56:38,2024-04-08 07:56:38,"0,009s",PASSED
