Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.3 Crear Grupos WorkFlow,Chrome 122.0.0.0,,,2024-03-11 10:43:00,2024-03-11 10:45:06,"2m - 5,857s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/3Grupos/5.3 Crear Grupos WorkFlow,Chrome 122.0.0.0,,,2024-03-11 10:43:00,2024-03-11 10:45:06,"2m - 5,623s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,2024-03-11 10:43:01,2024-03-11 10:43:13,"11,927s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 122.0.0.0,,,2024-03-11 10:43:13,2024-03-11 10:43:13,"0,637s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:43:13,2024-03-11 10:43:16,"3,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Grupos""))",Chrome 122.0.0.0,,,2024-03-11 10:43:16,2024-03-11 10:43:17,"0,635s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:43:17,2024-03-11 10:43:20,"3,012s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala""))",Chrome 122.0.0.0,Se escoge sala WorkFlow - Sala General,,2024-03-11 10:43:20,2024-03-11 10:43:20,"0,472s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:43:20,2024-03-11 10:43:23,"3,007s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala(1)/a_WorkFlow - Sala General""))",Chrome 122.0.0.0,,,2024-03-11 10:43:23,2024-03-11 10:43:24,"0,407s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:43:24,2024-03-11 10:43:27,"3,019s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/input_Nombre""), ""Grupo General"")",Chrome 122.0.0.0,,,2024-03-11 10:43:27,2024-03-11 10:43:28,"0,716s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/textarea_Descripcion""), ""WorkFlow - Grupo General"")",Chrome 122.0.0.0,,,2024-03-11 10:43:28,2024-03-11 10:43:28,"0,757s",PASSED
"scrollToPosition(0, 800)",Chrome 122.0.0.0,,,2024-03-11 10:43:28,2024-03-11 10:43:28,"0,025s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/select_Nivel de visualizacion en Transferencias""), ""Área"", false)",Chrome 122.0.0.0,,,2024-03-11 10:43:28,2024-03-11 10:43:29,"0,769s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 10:43:29,2024-03-11 10:43:31,"2,020s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/select_Nivel de visualizacion en Nuevo Servicio""), ""Área"", false)",Chrome 122.0.0.0,,,2024-03-11 10:43:31,2024-03-11 10:43:32,"0,817s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 10:43:32,2024-03-11 10:43:34,"2,004s",PASSED
"scrollToPosition(0, 0)",Chrome 122.0.0.0,,,2024-03-11 10:43:34,2024-03-11 10:43:34,"0,025s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/img_Nuevo""))",Chrome 122.0.0.0,,,2024-03-11 10:43:34,2024-03-11 10:43:34,"0,446s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:43:34,2024-03-11 10:43:37,"3,004s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Grupos""))",Chrome 122.0.0.0,Para crear Grupo Entrega Documentos,,2024-03-11 10:43:37,2024-03-11 10:43:38,"0,627s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:43:38,2024-03-11 10:43:41,"3,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala""))",Chrome 122.0.0.0,Se escoge sala WorkFlow - Sala Entrega Documentos,,2024-03-11 10:43:41,2024-03-11 10:43:41,"0,425s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:43:41,2024-03-11 10:43:44,"3,011s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/btn_Sala(1)/a_WorkFlow - Sala Entrega Documentos""))",Chrome 122.0.0.0,,,2024-03-11 10:43:44,2024-03-11 10:43:45,"0,448s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:43:45,2024-03-11 10:43:48,"3,019s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/input_Nombre""), ""Grupo Entrega Documentos"")",Chrome 122.0.0.0,,,2024-03-11 10:43:48,2024-03-11 10:43:49,"0,838s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/textarea_Descripcion""), ""WorkFlow - Entrega Documentos"")",Chrome 122.0.0.0,,,2024-03-11 10:43:49,2024-03-11 10:43:50,"0,837s",PASSED
"scrollToPosition(0, 800)",Chrome 122.0.0.0,,,2024-03-11 10:43:50,2024-03-11 10:43:50,"0,008s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/select_Nivel de visualizacion en Transferencias""), ""Área"", false)",Chrome 122.0.0.0,,,2024-03-11 10:43:50,2024-03-11 10:43:50,"0,836s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 10:43:50,2024-03-11 10:43:52,"2,018s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/select_Nivel de visualizacion en Nuevo Servicio""), ""Área"", false)",Chrome 122.0.0.0,,,2024-03-11 10:43:52,2024-03-11 10:43:53,"0,744s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 10:43:53,2024-03-11 10:43:55,"2,003s",PASSED
"scrollToPosition(0, 0)",Chrome 122.0.0.0,,,2024-03-11 10:43:55,2024-03-11 10:43:55,"0,025s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/3Grupos/Edicion/img_Nuevo""))",Chrome 122.0.0.0,,,2024-03-11 10:43:55,2024-03-11 10:43:56,"0,416s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:43:56,2024-03-11 10:43:59,"3,017s",PASSED
