Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.7 Crear Motivos,Chrome 123.0.0.0,,,2024-04-02 15:43:38,2024-04-02 15:45:56,"2m - 17,452s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/7Motivos/5.7 Crear Motivos,Chrome 123.0.0.0,,,2024-04-02 15:43:39,2024-04-02 15:45:56,"2m - 17,207s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-02 15:43:39,2024-04-02 15:43:51,"12,070s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 123.0.0.0,,,2024-04-02 15:43:51,2024-04-02 15:43:52,"0,680s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:43:52,2024-04-02 15:43:55,"3,002s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Motivos""))",Chrome 123.0.0.0,Motivos listado jerarquia,,2024-04-02 15:43:55,2024-04-02 15:43:56,"1,024s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:43:56,2024-04-02 15:43:59,"3,015s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos""))",Chrome 123.0.0.0,Pestaña Motivos para crear,,2024-04-02 15:43:59,2024-04-02 15:43:59,"0,450s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:43:59,2024-04-02 15:44:02,"3,021s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos(1)/input_Nombre""), ""Hora de almuerzo"")",Chrome 123.0.0.0,Motivo 1,,2024-04-02 15:44:02,2024-04-02 15:44:03,"0,926s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos(1)/textarea_Descripcion""), ""Hora de almuerzo"")",Chrome 123.0.0.0,,,2024-04-02 15:44:03,2024-04-02 15:44:04,"0,841s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos(1)/select_Tipo motivo""), ""Cierre"", false)",Chrome 123.0.0.0,,,2024-04-02 15:44:04,2024-04-02 15:44:05,"0,756s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos(1)/select_Tipo Ocio""), ""Receso Laboral"", false)",Chrome 123.0.0.0,,,2024-04-02 15:44:05,2024-04-02 15:44:06,"0,827s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos(1)/img_Nuevo""))",Chrome 123.0.0.0,,,2024-04-02 15:44:06,2024-04-02 15:44:06,"0,426s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:44:06,2024-04-02 15:44:09,"3,014s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos(1)/input_Nombre""), ""Pausa Activa AM"")",Chrome 123.0.0.0,Motivo 2,,2024-04-02 15:44:09,2024-04-02 15:44:10,"0,776s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos(1)/textarea_Descripcion""), ""Pausa Activa AM"")",Chrome 123.0.0.0,,,2024-04-02 15:44:10,2024-04-02 15:44:11,"0,766s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos(1)/select_Tipo motivo""), ""Cierre"", false)",Chrome 123.0.0.0,,,2024-04-02 15:44:11,2024-04-02 15:44:11,"0,700s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos(1)/select_Tipo Ocio""), ""Receso Laboral"", false)",Chrome 123.0.0.0,,,2024-04-02 15:44:11,2024-04-02 15:44:12,"1,118s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos(1)/img_Nuevo""))",Chrome 123.0.0.0,,,2024-04-02 15:44:12,2024-04-02 15:44:13,"0,429s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:44:13,2024-04-02 15:44:16,"3,022s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos(1)/input_Nombre""), ""Pausa Activa PM"")",Chrome 123.0.0.0,Motivo 3,,2024-04-02 15:44:16,2024-04-02 15:44:17,"0,846s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos(1)/textarea_Descripcion""), ""Pausa Activa PM"")",Chrome 123.0.0.0,,,2024-04-02 15:44:17,2024-04-02 15:44:17,"0,769s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos(1)/select_Tipo motivo""), ""Cierre"", false)",Chrome 123.0.0.0,,,2024-04-02 15:44:17,2024-04-02 15:44:18,"0,681s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos(1)/select_Tipo Ocio""), ""Receso Laboral"", false)",Chrome 123.0.0.0,,,2024-04-02 15:44:18,2024-04-02 15:44:19,"1,076s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/7Motivos/Motivos/span_Motivos(1)/img_Nuevo""))",Chrome 123.0.0.0,,,2024-04-02 15:44:19,2024-04-02 15:44:20,"0,379s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:44:20,2024-04-02 15:44:23,"3,012s",PASSED
