Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
63 Autorizacion Personalizada,Chrome 123.0.0.0,,,2024-04-08 09:55:28,2024-04-08 09:56:57,"1m - 28,620s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/63 Autorizacion Personalizada Restringir,Chrome 123.0.0.0,,,2024-04-08 09:55:28,2024-04-08 09:56:14,"45,400s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/30 Sistema""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-08 09:55:29,2024-04-08 09:55:53,"24,002s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/7Sistema/0Principal/img_3 Autorizacion Personalizada""))",Chrome 123.0.0.0,,,2024-04-08 09:55:53,2024-04-08 09:55:53,"0,715s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/7Sistema/3 Autorizacion Personalizada/1 Paginas/input_TextoABuscar""), ""15"")",Chrome 123.0.0.0,,,2024-04-08 09:55:53,2024-04-08 09:55:54,"0,933s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-08 09:55:54,2024-04-08 09:55:56,"2,004s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/7Sistema/3 Autorizacion Personalizada/1 Paginas/td_1Seleccion""))",Chrome 123.0.0.0,,,2024-04-08 09:55:56,2024-04-08 09:55:57,"0,430s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-08 09:55:57,2024-04-08 09:55:59,"2,010s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/7Sistema/3 Autorizacion Personalizada/2 Perfiles/input_TextoABuscar""), ""admin"")",Chrome 123.0.0.0,,,2024-04-08 09:55:59,2024-04-08 09:56:00,"0,789s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-08 09:56:00,2024-04-08 09:56:02,"2,003s",PASSED
