Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.5 Crear Terminales Cartagena,Chrome 122.0.0.0,,,2024-03-11 10:53:00,2024-03-11 10:54:26,"1m - 25,509s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/5Terminales/5.5 Crear Terminales Cartagena,Chrome 122.0.0.0,,,2024-03-11 10:53:01,2024-03-11 10:54:26,"1m - 25,266s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,2024-03-11 10:53:01,2024-03-11 10:53:13,"11,881s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 122.0.0.0,,,2024-03-11 10:53:13,2024-03-11 10:53:14,"0,634s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:53:14,2024-03-11 10:53:17,"3,007s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Terminales""))",Chrome 122.0.0.0,inicio Cartagena informacion,,2024-03-11 10:53:17,2024-03-11 10:53:17,"0,597s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:53:17,2024-03-11 10:53:20,"3,007s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/0OficinasModal/td_3Cartagena - Bocagrande""))",Chrome 122.0.0.0,,,2024-03-11 10:53:20,2024-03-11 10:53:21,"0,395s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:53:21,2024-03-11 10:53:24,"3,006s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_SeleccionarGrupo""))",Chrome 122.0.0.0,,,2024-03-11 10:53:24,2024-03-11 10:53:24,"0,455s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:53:24,2024-03-11 10:53:27,"3,009s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_Seleccionar Grupo(1)/a_Grupo General""))",Chrome 122.0.0.0,,,2024-03-11 10:53:27,2024-03-11 10:53:27,"0,472s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:53:27,2024-03-11 10:53:30,"3,002s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/input_Nombre""), 2)",Chrome 122.0.0.0,,,2024-03-11 10:53:30,2024-03-11 10:53:31,"0,450s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/input_Nombre""), ""A01"")",Chrome 122.0.0.0,,,2024-03-11 10:53:31,2024-03-11 10:53:32,"0,811s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/textarea_Descripcion""), ""Cartagena - Terminal - Informacion"")",Chrome 122.0.0.0,,,2024-03-11 10:53:32,2024-03-11 10:53:33,"0,805s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/Label/label_Mostrar ventana emergente""), 2)",Chrome 122.0.0.0,,,2024-03-11 10:53:33,2024-03-11 10:53:33,"0,362s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/Label/label_Mostrar ventana emergente""))",Chrome 122.0.0.0,,,2024-03-11 10:53:33,2024-03-11 10:53:33,"0,419s",PASSED
"scrollToPosition(0, 0)",Chrome 122.0.0.0,,,2024-03-11 10:53:33,2024-03-11 10:53:33,"0,035s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 10:53:33,2024-03-11 10:53:35,"2,007s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/img_Nuevo""))",Chrome 122.0.0.0,,,2024-03-11 10:53:35,2024-03-11 10:53:36,"0,420s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:53:36,2024-03-11 10:53:39,"3,014s",PASSED
