Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
61 Campos Adicionales Crear Actualizar Eliminar,Chrome 115.0.0.0,,,2023-08-14 14:58:23,2023-08-14 15:00:37,"2m - 14,166s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/61 Campos Adicionales Crear,Chrome 115.0.0.0,,,2023-08-14 14:58:23,2023-08-14 14:59:07,"43,630s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/59 Datos Complementarios""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:58:24,2023-08-14 14:58:50,"26,208s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/0Principal/img_campos adicionales""))",Chrome 115.0.0.0,,,2023-08-14 14:58:50,2023-08-14 14:58:51,"1,073s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:58:51,2023-08-14 14:58:54,"3,013s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/Campos Adicionales/Adicion de campos Adicionales/Edicion de campos/input_Nombre""), ""Prueba"")",Chrome 115.0.0.0,,,2023-08-14 14:58:54,2023-08-14 14:58:55,"0,791s",PASSED
"selectOptionByIndex(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/Campos Adicionales/Adicion de campos Adicionales/Edicion de campos/select_TipoDato""), 3)",Chrome 115.0.0.0,,,2023-08-14 14:58:55,2023-08-14 14:58:56,"1,206s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:58:56,2023-08-14 14:58:59,"3,001s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/Campos Adicionales/Adicion de campos Adicionales/Edicion de campos/input_Valor por defecto""), ""0"")",Chrome 115.0.0.0,,,2023-08-14 14:58:59,2023-08-14 14:59:00,"0,842s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/Campos Adicionales/Adicion de campos Adicionales/Edicion de campos/img_Nuevo""))",Chrome 115.0.0.0,,,2023-08-14 14:59:00,2023-08-14 14:59:00,"0,442s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:59:00,2023-08-14 14:59:03,"3,015s",PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-14 14:59:03,2023-08-14 14:59:04,"0,716s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:59:04,2023-08-14 14:59:07,"3,001s",PASSED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 14:59:07,2023-08-14 14:59:07,"0,000s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/61 Campos Adicionales Actualizar,Chrome 115.0.0.0,,,2023-08-14 14:59:07,2023-08-14 14:59:53,"46,569s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/59 Datos Complementarios""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:59:07,2023-08-14 14:59:32,"24,718s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/0Principal/img_campos adicionales""))",Chrome 115.0.0.0,,,2023-08-14 14:59:32,2023-08-14 14:59:33,"0,641s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:59:33,2023-08-14 14:59:36,"3,003s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/Campos Adicionales/Adicion de campos Adicionales/Edicion de campos/0 Lista de campos/input_TextoABuscar""), ""Prueba"")",Chrome 115.0.0.0,,,2023-08-14 14:59:36,2023-08-14 14:59:36,"0,835s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:59:36,2023-08-14 14:59:39,"3,005s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/Campos Adicionales/Adicion de campos Adicionales/Edicion de campos/0 Lista de campos/td_1 Seleccion""))",Chrome 115.0.0.0,,,2023-08-14 14:59:39,2023-08-14 14:59:40,"0,477s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:59:40,2023-08-14 14:59:43,"3,007s",PASSED
"selectOptionByIndex(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/Campos Adicionales/Adicion de campos Adicionales/Edicion de campos/select_TipoDato""), 4)",Chrome 115.0.0.0,,,2023-08-14 14:59:43,2023-08-14 14:59:44,"1,289s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 14:59:44,2023-08-14 14:59:46,"2,025s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/Campos Adicionales/Adicion de campos Adicionales/Edicion de campos/img_Actualizar""))",Chrome 115.0.0.0,,,2023-08-14 14:59:46,2023-08-14 14:59:47,"0,468s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:59:47,2023-08-14 14:59:50,"3,003s",PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-14 14:59:50,2023-08-14 14:59:50,"0,787s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:59:50,2023-08-14 14:59:53,"3,012s",PASSED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 14:59:53,2023-08-14 14:59:53,"0,000s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/61 Campos Adicionales Eliminar,Chrome 115.0.0.0,,,2023-08-14 14:59:53,2023-08-14 15:00:37,"43,707s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/59 Datos Complementarios""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:59:54,2023-08-14 15:00:19,"24,792s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/0Principal/img_campos adicionales""))",Chrome 115.0.0.0,,,2023-08-14 15:00:19,2023-08-14 15:00:19,"0,673s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 15:00:19,2023-08-14 15:00:22,"3,012s",PASSED
