Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3.1 Agregar al arbol Area,Chrome 115.0.0.0,,,2023-08-14 08:50:02,2023-08-14 08:50:55,"53,456s",FAILED
,,,,,,,
Test Cases/WIZARD/1Modelo De Negocio/3.1 Agregar al arbol Area,Chrome 115.0.0.0,,,2023-08-14 08:50:02,2023-08-14 08:50:55,"53,083s",FAILED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 08:50:03,2023-08-14 08:50:15,"12,914s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_ModeloDeNegocioMAX""))",Chrome 115.0.0.0,,,2023-08-14 08:50:15,2023-08-14 08:50:16,"0,796s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 08:50:16,2023-08-14 08:50:19,"3,016s",PASSED
"rightClick(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/span_arbol de jerarquia(clickDerecho)""))",Chrome 115.0.0.0,,,2023-08-14 08:50:19,2023-08-14 08:50:20,"0,876s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/span_Agregar Elementos""))",Chrome 115.0.0.0,,,2023-08-14 08:50:20,2023-08-14 08:50:21,"0,540s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 08:50:21,2023-08-14 08:50:24,"3,009s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/0ArbolDeJerarquia/span Agregar Elementos/label_Area General""))",Chrome 115.0.0.0,"marcar la casilla del nivel 0, Area",,2023-08-14 08:50:24,2023-08-14 08:50:55,"31,488s",FAILED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 08:50:55,2023-08-14 08:50:55,"0,000s",PASSED
