Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.1 Crear Oficina Medellin,Chrome 123.0.0.0,,,2024-04-02 14:45:59,2024-04-02 14:46:59,"1m - 0,201s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/1Oficinas/5.1 Crear Oficina Medellin,Chrome 123.0.0.0,,,2024-04-02 14:45:59,2024-04-02 14:46:59,"59,954s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-02 14:45:59,2024-04-02 14:46:12,"12,120s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 123.0.0.0,,,2024-04-02 14:46:12,2024-04-02 14:46:12,"0,657s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:46:12,2024-04-02 14:46:15,"3,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Oficinas""))",Chrome 123.0.0.0,,,2024-04-02 14:46:15,2024-04-02 14:46:16,"0,936s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:46:16,2024-04-02 14:46:19,"3,014s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Pais""), ""Colombia"", false)",Chrome 123.0.0.0,,,2024-04-02 14:46:19,2024-04-02 14:46:20,"0,782s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-02 14:46:20,2024-04-02 14:46:22,"2,002s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Departamento""), ""Antioquia"", false)",Chrome 123.0.0.0,,,2024-04-02 14:46:22,2024-04-02 14:46:23,"0,718s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-02 14:46:23,2024-04-02 14:46:25,"2,014s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Ciudad""), ""Medellin"", false)",Chrome 123.0.0.0,,,2024-04-02 14:46:25,2024-04-02 14:46:25,"0,782s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-02 14:46:25,2024-04-02 14:46:27,"2,001s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/input_Nombre""), ""Medellin - Laureles"")",Chrome 123.0.0.0,Oficina Medellin - Laureles,,2024-04-02 14:46:27,2024-04-02 14:46:28,"0,885s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Nivel de Pregunta""), ""Ninguno"", false)",Chrome 123.0.0.0,,,2024-04-02 14:46:28,2024-04-02 14:46:29,"0,718s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:46:29,2024-04-02 14:46:32,"3,009s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/input_MaximoTurnosXCliente""), ""2"")",Chrome 123.0.0.0,,,2024-04-02 14:46:32,2024-04-02 14:46:33,"0,838s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/input_Nivel de servicio de espera""), ""0"")",Chrome 123.0.0.0,,,2024-04-02 14:46:33,2024-04-02 14:46:34,"0,848s",PASSED
"scrollToPosition(100, 800)",Chrome 123.0.0.0,,,2024-04-02 14:46:34,2024-04-02 14:46:34,"0,040s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 14:46:34,2024-04-02 14:46:37,"3,016s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/App/input_Nombre a mostrar""), ""Medellin - Laureles"")",Chrome 123.0.0.0,,,2024-04-02 14:46:37,2024-04-02 14:46:38,"0,849s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/App/input_Direccion""), ""Calle 10 No 24-3"")",Chrome 123.0.0.0,,,2024-04-02 14:46:38,2024-04-02 14:46:39,"0,836s",PASSED
