Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.4 Relacionar Selectores,Chrome 120.0.0.0,,,2024-01-15 10:17:13,2024-01-15 10:19:30,"2m - 16,990s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/4Selectores/5.4 Relacionar Selectores,Chrome 120.0.0.0,,,2024-01-15 10:17:13,2024-01-15 10:19:30,"2m - 16,745s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-15 10:17:13,2024-01-15 10:17:24,"11,143s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 120.0.0.0,,,2024-01-15 10:17:24,2024-01-15 10:17:26,"1,278s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:17:26,2024-01-15 10:17:29,"3,009s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Selectores""))",Chrome 120.0.0.0,inicio Seleector Bogota,,2024-01-15 10:17:29,2024-01-15 10:17:29,"0,640s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:17:29,2024-01-15 10:17:32,"3,015s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/btn_Oficinas(2)/td_1Bogota - CIEL""))",Chrome 120.0.0.0,,,2024-01-15 10:17:32,2024-01-15 10:17:33,"0,446s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:17:33,2024-01-15 10:17:36,"3,008s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/4Selectores/Lista de Selectores/td_Selector 01""))",Chrome 120.0.0.0,,,2024-01-15 10:17:36,2024-01-15 10:17:36,"0,485s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 10:17:36,2024-01-15 10:17:38,"2,010s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/Destino del turno/a_SeleccionarTodo""), 2)",Chrome 120.0.0.0,,,2024-01-15 10:17:38,2024-01-15 10:17:39,"0,404s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/Destino del turno/a_SeleccionarTodo""))",Chrome 120.0.0.0,,,2024-01-15 10:17:39,2024-01-15 10:17:39,"0,506s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 10:17:39,2024-01-15 10:17:41,"2,016s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/Destino del turno/img_Relacionar""))",Chrome 120.0.0.0,,,2024-01-15 10:17:41,2024-01-15 10:17:42,"0,477s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:17:42,2024-01-15 10:17:45,"3,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Selectores""))",Chrome 120.0.0.0,inicio Seleector Cali,,2024-01-15 10:17:45,2024-01-15 10:17:45,"0,598s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:17:45,2024-01-15 10:17:48,"3,011s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/btn_Oficinas(2)/td_2Cali - Chipichape""))",Chrome 120.0.0.0,,,2024-01-15 10:17:48,2024-01-15 10:17:49,"0,430s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:17:49,2024-01-15 10:17:52,"3,009s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/4Selectores/Lista de Selectores/td_Selector 01""))",Chrome 120.0.0.0,,,2024-01-15 10:17:52,2024-01-15 10:17:52,"0,457s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:17:52,2024-01-15 10:17:55,"3,011s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/4Selectores/Edicion Selectores/Destino del turno/a_SeleccionarTodo""), 2)",Chrome 120.0.0.0,,,2024-01-15 10:17:55,2024-01-15 10:17:55,"0,390s",PASSED
