Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
21 Distribucion Geografica,Chrome 115.0.0.0,,,2023-08-14 14:23:42,2023-08-14 14:24:19,"37,235s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/21 Distribucion Geografica,Chrome 115.0.0.0,,,2023-08-14 14:23:42,2023-08-14 14:24:19,"36,983s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:23:42,2023-08-14 14:23:54,"11,493s",PASSED
"click(findTestObject(""DIGITURNO/1Principal/img_Configuracion(1)""))",Chrome 115.0.0.0,,,2023-08-14 14:23:54,2023-08-14 14:23:54,"0,633s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:23:54,2023-08-14 14:23:57,"3,007s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/0Principal/img_2Distribucion Geografica""))",Chrome 115.0.0.0,Mostrará los iconos de Distribución Geográfica,,2023-08-14 14:23:57,2023-08-14 14:24:12,"14,810s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:24:12,2023-08-14 14:24:15,"3,008s",PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-14 14:24:15,2023-08-14 14:24:16,"0,693s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:24:16,2023-08-14 14:24:19,"3,020s",PASSED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 14:24:19,2023-08-14 14:24:19,"0,000s",PASSED
