Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.5 Crear Terminales Virtual,Chrome 120.0.0.0,,,2024-01-15 10:27:47,2024-01-15 10:29:17,"1m - 29,939s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/5Terminales/5.5 Crear Terminales Virtual,Chrome 120.0.0.0,,,2024-01-15 10:27:47,2024-01-15 10:29:17,"1m - 29,718s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-15 10:27:48,2024-01-15 10:27:59,"11,369s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 120.0.0.0,,,2024-01-15 10:27:59,2024-01-15 10:28:00,"0,876s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:28:00,2024-01-15 10:28:03,"3,008s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Terminales""))",Chrome 120.0.0.0,inicio Virtual informacion,,2024-01-15 10:28:03,2024-01-15 10:28:04,"0,659s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:28:04,2024-01-15 10:28:07,"3,013s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/0OficinasModal/td_6Virtual - Oficina Virtual""))",Chrome 120.0.0.0,,,2024-01-15 10:28:07,2024-01-15 10:28:07,"0,501s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:28:07,2024-01-15 10:28:10,"3,001s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_SeleccionarGrupo""))",Chrome 120.0.0.0,,,2024-01-15 10:28:10,2024-01-15 10:28:11,"0,502s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:28:11,2024-01-15 10:28:14,"3,024s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_Seleccionar Grupo(1)/a_Grupo General""))",Chrome 120.0.0.0,,,2024-01-15 10:28:14,2024-01-15 10:28:14,"0,432s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:28:14,2024-01-15 10:28:17,"3,014s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/input_Nombre""), ""A01"")",Chrome 120.0.0.0,,,2024-01-15 10:28:17,2024-01-15 10:28:18,"0,764s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/textarea_Descripcion""), ""Virtual - Terminal - Informacion"")",Chrome 120.0.0.0,,,2024-01-15 10:28:18,2024-01-15 10:28:19,"0,814s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/Label/label_Mostrar ventana emergente""), 2)",Chrome 120.0.0.0,,,2024-01-15 10:28:19,2024-01-15 10:28:19,"0,369s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/Label/label_Mostrar ventana emergente""))",Chrome 120.0.0.0,,,2024-01-15 10:28:19,2024-01-15 10:28:19,"0,442s",PASSED
"scrollToPosition(0, 0)",Chrome 120.0.0.0,,,2024-01-15 10:28:19,2024-01-15 10:28:19,"0,035s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-15 10:28:19,2024-01-15 10:28:22,"2,013s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/img_Nuevo""))",Chrome 120.0.0.0,,,2024-01-15 10:28:22,2024-01-15 10:28:22,"0,415s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:28:22,2024-01-15 10:28:25,"3,008s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Terminales""))",Chrome 120.0.0.0,inicio Virtual PQRS,,2024-01-15 10:28:25,2024-01-15 10:28:26,"0,702s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:28:26,2024-01-15 10:28:29,"3,009s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/0OficinasModal/td_6Virtual - Oficina Virtual""))",Chrome 120.0.0.0,,,2024-01-15 10:28:29,2024-01-15 10:28:29,"0,469s",PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-15 10:28:29,2024-01-15 10:28:32,"3,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_SeleccionarGrupo""))",Chrome 120.0.0.0,,,2024-01-15 10:28:32,2024-01-15 10:28:33,"0,418s",PASSED
