Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
68 Administracion Impresoras,Chrome 115.0.0.0,,,2023-08-14 15:05:51,2023-08-14 15:07:03,"1m - 11,627s",FAILED
,,,,,,,
Test Cases/DIGITURNO/BASICO/68 Administracion Impresoras,Chrome 115.0.0.0,,,2023-08-14 15:05:51,2023-08-14 15:07:03,"1m - 11,381s",FAILED
"callTestCase(findTestCase(""DIGITURNO/BASICO/32 Elementos del Sistema""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 15:05:52,2023-08-14 15:06:18,"26,083s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/0Principal/img_8Impresoras""))",Chrome 115.0.0.0,,,2023-08-14 15:06:18,2023-08-14 15:06:20,"1,901s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 15:06:20,2023-08-14 15:06:22,"2,010s",PASSED
"scrollToPosition(50, 700)",Chrome 115.0.0.0,,,2023-08-14 15:06:22,2023-08-14 15:06:22,"0,025s",PASSED
"selectOptionByIndex(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/8 Impresoras/Configuracion Impresoras/span_Edicion Impresoras(1)/Informacion general/select_Tipo Impresora""), 0)",Chrome 115.0.0.0,,,2023-08-14 15:06:22,2023-08-14 15:06:23,"1,190s",PASSED
delay(5),Chrome 115.0.0.0,,,2023-08-14 15:06:23,2023-08-14 15:06:28,"5,009s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/8 Impresoras/Configuracion Impresoras/span_Edicion Tiquetes""))",Chrome 115.0.0.0,,,2023-08-14 15:06:28,2023-08-14 15:06:28,"0,490s",PASSED
"scrollToPosition(0, 300)",Chrome 115.0.0.0,,,2023-08-14 15:06:28,2023-08-14 15:06:28,"0,023s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/8 Impresoras/Configuracion Impresoras/span_Edicion Tiquetes(1)/Tiquete/input_Nombre Tiquete""), ""Prueba"")",Chrome 115.0.0.0,,,2023-08-14 15:06:28,2023-08-14 15:06:29,"0,931s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/8 Impresoras/Configuracion Impresoras/span_Edicion Tiquetes(1)/Tiquete/img_Nuevo""))",Chrome 115.0.0.0,,,2023-08-14 15:06:29,2023-08-14 15:07:03,"33,386s",FAILED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 15:07:03,2023-08-14 15:07:03,"0,015s",PASSED
