Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
30 Sistema,Chrome 114.0.0.0,,,2023-07-11 11:55:44,2023-07-11 11:56:06,"22,400s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/30 Sistema,Chrome 114.0.0.0,,,2023-07-11 11:55:44,2023-07-11 11:56:06,"22,162s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 11:55:44,2023-07-11 11:55:55,"11,090s",PASSED
"click(findTestObject(""DIGITURNO/1Principal/img_Configuracion(1)""))",Chrome 114.0.0.0,,,2023-07-11 11:55:55,2023-07-11 11:55:56,"0,596s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:55:56,2023-07-11 11:55:59,"3,004s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/0Principal/img_7Sistema""))",Chrome 114.0.0.0,,,2023-07-11 11:55:59,2023-07-11 11:55:59,"0,553s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:55:59,2023-07-11 11:56:02,"3,003s",PASSED
takeFullPageScreenshot(),Chrome 114.0.0.0,,,2023-07-11 11:56:02,2023-07-11 11:56:03,"0,617s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:56:03,2023-07-11 11:56:06,"3,005s",PASSED
Start listener action : sampleAfterTestCase,Chrome 114.0.0.0,,,2023-07-11 11:56:06,2023-07-11 11:56:06,"0,000s",PASSED
