Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
35 Usuarios por Terminales,Chrome 123.0.0.0,,,2024-04-08 09:36:21,2024-04-08 09:37:06,"44,707s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/35 Usuarios por Terminales,Chrome 123.0.0.0,,,2024-04-08 09:36:21,2024-04-08 09:37:06,"44,466s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/5 Usuarios""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-08 09:36:22,2024-04-08 09:36:46,"24,461s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/0Principal/img_5Usuarios en Terminales""))",Chrome 123.0.0.0,,,2024-04-08 09:36:46,2024-04-08 09:36:47,"0,778s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 09:36:47,2024-04-08 09:36:50,"3,016s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/5Usuarios en Terminales/0Oficinas/Oficinas/td1_Bogota - CIEL""))",Chrome 123.0.0.0,,,2024-04-08 09:36:50,2024-04-08 09:36:50,"0,440s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-08 09:36:50,2024-04-08 09:36:52,"2,013s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/5Usuarios en Terminales/0Usuarios/td_1CIEL""))",Chrome 123.0.0.0,,,2024-04-08 09:36:52,2024-04-08 09:36:53,"0,452s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-08 09:36:53,2024-04-08 09:36:55,"2,009s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/5Usuarios en Terminales/Selectores Disponibles/a_SeleccionarTodo""))",Chrome 123.0.0.0,,,2024-04-08 09:36:55,2024-04-08 09:36:55,"0,466s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/5Usuarios en Terminales/Selectores Disponibles/img_Agregar Selectores""))",Chrome 123.0.0.0,,,2024-04-08 09:36:55,2024-04-08 09:36:56,"0,524s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-08 09:36:56,2024-04-08 09:36:58,"2,014s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/5Usuarios en Terminales/Terminales Disponibles/a_SeleccionarTodo""))",Chrome 123.0.0.0,,,2024-04-08 09:36:58,2024-04-08 09:36:58,"0,489s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/4Usuarios/5Usuarios en Terminales/Terminales Disponibles/img_Agregar Terminales""))",Chrome 123.0.0.0,,,2024-04-08 09:36:58,2024-04-08 09:36:59,"0,542s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 09:36:59,2024-04-08 09:37:02,"3,009s",PASSED
takeFullPageScreenshot(),Chrome 123.0.0.0,,,2024-04-08 09:37:02,2024-04-08 09:37:03,"0,914s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 09:37:03,2024-04-08 09:37:06,"3,008s",PASSED
Start listener action : sampleAfterTestCase,Chrome 123.0.0.0,,,2024-04-08 09:37:06,2024-04-08 09:37:06,"0,010s",PASSED
