Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1 Crear Niveles,Chrome 123.0.0.0,,,2024-04-02 13:53:31,2024-04-02 13:54:58,"1m - 27,054s",PASSED
,,,,,,,
Test Cases/WIZARD/1Modelo De Negocio/1CrearNiveles,Chrome 123.0.0.0,,,2024-04-02 13:53:32,2024-04-02 13:54:58,"1m - 26,756s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-02 13:53:32,2024-04-02 13:53:44,"12,211s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_ModeloDeNegocioMAX""))",Chrome 123.0.0.0,,,2024-04-02 13:53:44,2024-04-02 13:54:10,"25,849s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 13:54:10,2024-04-02 13:54:13,"3,026s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/00Menu/span_Niveles""))",Chrome 123.0.0.0,,,2024-04-02 13:54:13,2024-04-02 13:54:14,"0,837s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 13:54:14,2024-04-02 13:54:17,"3,012s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/1Niveles/Edicion de Niveles/input_Nombre Nivel""), ""Área"")",Chrome 123.0.0.0,Se crea Nivel Área,,2024-04-02 13:54:17,2024-04-02 13:54:18,"0,848s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/1Niveles/Edicion de Niveles/input_Descripcion Nivel""), ""Área"")",Chrome 123.0.0.0,,,2024-04-02 13:54:18,2024-04-02 13:54:18,"0,788s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/1Niveles/Edicion de Niveles/input_Cantidad de elementos""), ""1"")",Chrome 123.0.0.0,,,2024-04-02 13:54:18,2024-04-02 13:54:19,"0,805s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/1Niveles/Edicion de Niveles/input_Prefijo""), ""AG"")",Chrome 123.0.0.0,,,2024-04-02 13:54:19,2024-04-02 13:54:20,"0,819s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/1Niveles/Edicion de Niveles/btn_Nuevo""))",Chrome 123.0.0.0,,,2024-04-02 13:54:20,2024-04-02 13:54:20,"0,425s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 13:54:20,2024-04-02 13:54:24,"3,017s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/00Menu/span_Niveles""))",Chrome 123.0.0.0,,,2024-04-02 13:54:24,2024-04-02 13:54:24,"0,548s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 13:54:24,2024-04-02 13:54:27,"3,012s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/1Niveles/Edicion de Niveles/input_Nombre Nivel""), ""Tipo cliente"")",Chrome 123.0.0.0,Se crea Nivel Tipo cliente,,2024-04-02 13:54:27,2024-04-02 13:54:28,"0,836s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/1Niveles/Edicion de Niveles/input_Descripcion Nivel""), ""Tipo cliente"")",Chrome 123.0.0.0,,,2024-04-02 13:54:28,2024-04-02 13:54:29,"0,787s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/1Niveles/Edicion de Niveles/input_Cantidad de elementos""), ""2"")",Chrome 123.0.0.0,,,2024-04-02 13:54:29,2024-04-02 13:54:30,"0,841s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/1Niveles/Edicion de Niveles/input_Prefijo""), ""TC"")",Chrome 123.0.0.0,,,2024-04-02 13:54:30,2024-04-02 13:54:30,"0,822s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/1Niveles/Edicion de Niveles/btn_Nuevo""))",Chrome 123.0.0.0,,,2024-04-02 13:54:30,2024-04-02 13:54:31,"0,426s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 13:54:31,2024-04-02 13:54:34,"3,008s",PASSED
"click(findTestObject(""WIZARD/1Modelo De Negocio/00Menu/span_Niveles""))",Chrome 123.0.0.0,,,2024-04-02 13:54:34,2024-04-02 13:54:34,"0,516s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 13:54:34,2024-04-02 13:54:37,"3,015s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/1Niveles/Edicion de Niveles/input_Nombre Nivel""), ""Servicio"")",Chrome 123.0.0.0,Se crea Nivel Servicio,,2024-04-02 13:54:37,2024-04-02 13:54:38,"0,814s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/1Niveles/Edicion de Niveles/input_Descripcion Nivel""), ""Servicio"")",Chrome 123.0.0.0,,,2024-04-02 13:54:38,2024-04-02 13:54:39,"0,794s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/1Niveles/Edicion de Niveles/input_Cantidad de elementos""), ""3"")",Chrome 123.0.0.0,,,2024-04-02 13:54:39,2024-04-02 13:54:40,"0,812s",PASSED
"setText(findTestObject(""WIZARD/1Modelo De Negocio/1Niveles/Edicion de Niveles/input_Prefijo""), ""SRVO"")",Chrome 123.0.0.0,,,2024-04-02 13:54:40,2024-04-02 13:54:41,"0,794s",PASSED
