Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1 Llamar Turno,Chrome 115.0.0.0,,,2023-08-14 13:56:57,2023-08-14 13:57:55,"57,962s",PASSED
,,,,,,,
Test Cases/DIGITURNO/OPERACION BASICA/1 Llamar Turno,Chrome 115.0.0.0,,,2023-08-14 13:56:57,2023-08-14 13:57:55,"57,701s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 13:56:58,2023-08-14 13:57:10,"11,795s",PASSED
"click(findTestObject(""DIGITURNO/1Principal/img_Operacion(1)""))",Chrome 115.0.0.0,,,2023-08-14 13:57:10,2023-08-14 13:57:10,"0,575s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:57:10,2023-08-14 13:57:13,"3,015s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/0Principal/Elementos del Sistema/img_Terminales""))",Chrome 115.0.0.0,,,2023-08-14 13:57:13,2023-08-14 13:57:14,"0,703s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:57:14,2023-08-14 13:57:17,"3,008s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Oficinas/td_1Bogota - CIEL""))",Chrome 115.0.0.0,Escogemos oficina,,2023-08-14 13:57:17,2023-08-14 13:57:17,"0,494s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:57:17,2023-08-14 13:57:20,"3,013s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Terminales (Menos WorkFlow)/td_1 - Terminal - Informacion""))",Chrome 115.0.0.0,Abrimos Terminal,,2023-08-14 13:57:20,2023-08-14 13:57:21,"0,453s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:57:21,2023-08-14 13:57:24,"3,010s",PASSED
switchToWindowIndex(1),Chrome 115.0.0.0,,,2023-08-14 13:57:24,2023-08-14 13:57:24,"0,066s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 13:57:24,2023-08-14 13:57:26,"2,008s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Llamar""))",Chrome 115.0.0.0,,,2023-08-14 13:57:26,2023-08-14 13:57:26,"0,449s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:57:26,2023-08-14 13:57:29,"3,019s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Ocupado""))",Chrome 115.0.0.0,,,2023-08-14 13:57:29,2023-08-14 13:57:36,"7,002s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:57:36,2023-08-14 13:57:39,"3,020s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Ocupado(1)/a_1Actualizacion de Datos""))",Chrome 115.0.0.0,,,2023-08-14 13:57:39,2023-08-14 13:57:41,"1,825s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:57:41,2023-08-14 13:57:44,"3,007s",PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-14 13:57:44,2023-08-14 13:57:45,"0,858s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:57:45,2023-08-14 13:57:48,"3,013s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Cerrar""))",Chrome 115.0.0.0,,,2023-08-14 13:57:48,2023-08-14 13:57:49,"0,451s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:57:49,2023-08-14 13:57:52,"3,010s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Cerrar(1)/btn_4FindeJornada_8""))",Chrome 115.0.0.0,,,2023-08-14 13:57:52,2023-08-14 13:57:52,"0,557s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 13:57:52,2023-08-14 13:57:55,"3,005s",PASSED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 13:57:55,2023-08-14 13:57:55,"0,018s",PASSED
