Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.2 Crear Sala Virtual,Chrome 122.0.0.0,,,2024-03-11 10:26:45,2024-03-11 10:27:35,"50,772s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/2Salas/5.2 Crear Sala Virtual,Chrome 122.0.0.0,,,2024-03-11 10:26:45,2024-03-11 10:27:35,"50,546s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,2024-03-11 10:26:45,2024-03-11 10:26:57,"12,088s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 122.0.0.0,,,2024-03-11 10:26:57,2024-03-11 10:26:58,"0,717s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:26:58,2024-03-11 10:27:01,"3,009s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Salas""))",Chrome 122.0.0.0,,,2024-03-11 10:27:01,2024-03-11 10:27:02,"0,867s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:27:02,2024-03-11 10:27:05,"3,007s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/btn_SeleccionarOficina""))",Chrome 122.0.0.0,Se escoge oficina Virtual para crear Virtual - Sala General ,,2024-03-11 10:27:05,2024-03-11 10:27:05,"0,467s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 10:27:05,2024-03-11 10:27:07,"2,007s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/btn_Seleccionar Oficina(1)/a_Virtual - Oficina Virtual""))",Chrome 122.0.0.0,,,2024-03-11 10:27:07,2024-03-11 10:27:08,"0,509s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 10:27:08,2024-03-11 10:27:10,"2,014s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_Nombre""), ""Virtual - Sala General"")",Chrome 122.0.0.0,,,2024-03-11 10:27:10,2024-03-11 10:27:11,"0,873s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/textarea_Descripcion""), ""Virtual - Sala General"")",Chrome 122.0.0.0,,,2024-03-11 10:27:11,2024-03-11 10:27:12,"0,790s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_MaximoOcupacion""), ""100"")",Chrome 122.0.0.0,,,2024-03-11 10:27:12,2024-03-11 10:27:12,"0,806s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_Tiempo de Abandono HH""), ""4"")",Chrome 122.0.0.0,,,2024-03-11 10:27:12,2024-03-11 10:27:13,"0,721s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Label/label_Habilitar Agendamiento""), 3)",Chrome 122.0.0.0,,,2024-03-11 10:27:13,2024-03-11 10:27:13,"0,382s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:27:13,2024-03-11 10:27:16,"3,012s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Promesa de Espera/input_Minutos promesa de espera""), ""10"")",Chrome 122.0.0.0,Promesa de espera,,2024-03-11 10:27:16,2024-03-11 10:27:17,"0,773s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Promesa de atencion/input_Minutos Promesa Atencion""), ""5"")",Chrome 122.0.0.0,Promesa de atencion,,2024-03-11 10:27:17,2024-03-11 10:27:18,"0,765s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Label/label_Habilitar Agendamiento""))",Chrome 122.0.0.0,,,2024-03-11 10:27:18,2024-03-11 10:27:18,"0,425s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:27:18,2024-03-11 10:27:21,"3,013s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/AgendamientoLlamado/Intervalo creacion/input_Minutos Intervalo Creacion""), ""2"")",Chrome 122.0.0.0,Intervalo creacion,,2024-03-11 10:27:21,2024-03-11 10:27:22,"0,785s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/AgendamientoLlamado/Tiempo Limite Creacion/input_Minutos Tiempo Limite Creacion""), ""2"")",Chrome 122.0.0.0,Tiempo limite creacion,,2024-03-11 10:27:22,2024-03-11 10:27:23,"0,782s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Label/label_Paso a distraido""))",Chrome 122.0.0.0,,,2024-03-11 10:27:23,2024-03-11 10:27:23,"0,400s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:27:23,2024-03-11 10:27:26,"3,006s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Distraidos/Tiempo Automatico a distraido/input_Tiempo automatico a distrado MM""), ""1"")",Chrome 122.0.0.0,,,2024-03-11 10:27:26,2024-03-11 10:27:27,"0,857s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/Distraidos/Tiempo de Rellamado/input_Tiempo de Rellamado MM""), ""1"")",Chrome 122.0.0.0,,,2024-03-11 10:27:27,2024-03-11 10:27:28,"0,744s",PASSED
"scrollToPosition(0, 0)",Chrome 122.0.0.0,,,2024-03-11 10:27:28,2024-03-11 10:27:28,"0,031s",PASSED
