Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.6 Creacion Columnas Tablero Cali,Chrome 114.0.0.0,,,2023-07-11 11:17:41,2023-07-11 11:18:44,"1m - 3,578s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/6Tableros/5.6 Creacion Columnas Tablero Cali,Chrome 114.0.0.0,,,2023-07-11 11:17:41,2023-07-11 11:18:44,"1m - 3,343s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 11:17:41,2023-07-11 11:17:53,"11,480s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 114.0.0.0,,,2023-07-11 11:17:53,2023-07-11 11:17:54,"1,047s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:17:54,2023-07-11 11:17:57,"3,020s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Tableros""))",Chrome 114.0.0.0,,,2023-07-11 11:17:57,2023-07-11 11:17:58,"0,845s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:17:58,2023-07-11 11:18:01,"3,010s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/0OficinaModal/td_Cali - Chipichape""))",Chrome 114.0.0.0,Cali,,2023-07-11 11:18:01,2023-07-11 11:18:01,"0,451s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:18:01,2023-07-11 11:18:04,"3,015s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Lista de Tableros/td_Tablero - 1""))",Chrome 114.0.0.0,,,2023-07-11 11:18:04,2023-07-11 11:18:05,"0,457s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 11:18:05,2023-07-11 11:18:08,"3,003s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/span_Columnas""))",Chrome 114.0.0.0,,,2023-07-11 11:18:08,2023-07-11 11:18:08,"0,448s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 11:18:08,2023-07-11 11:18:10,"2,009s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/input_Nombre""), ""Turno"")",Chrome 114.0.0.0,Creacion Turno,,2023-07-11 11:18:10,2023-07-11 11:18:11,"0,830s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/6Tableros/Configuracion/Columnas/textarea_Descripcion""), ""Turno"")",Chrome 114.0.0.0,,,2023-07-11 11:18:11,2023-07-11 11:18:12,"0,751s",PASSED
