Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
60 Informacion Clientes,Chrome 115.0.0.0,,,2023-08-14 14:57:04,2023-08-14 14:58:13,"1m - 8,518s",FAILED
,,,,,,,
Test Cases/DIGITURNO/BASICO/60 Informacion Clientes,Chrome 115.0.0.0,,,2023-08-14 14:57:04,2023-08-14 14:58:13,"1m - 8,260s",FAILED
"callTestCase(findTestCase(""DIGITURNO/BASICO/59 Datos Complementarios""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:57:05,2023-08-14 14:57:31,"26,187s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/0Principal/img_Informacion de clientes""))",Chrome 115.0.0.0,,,2023-08-14 14:57:31,2023-08-14 14:57:32,"1,009s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:57:32,2023-08-14 14:57:35,"3,003s",PASSED
"scrollToElement(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/Informacion Clientes/0 Tipo de usuario clientes/img_Nuevo""), 2)",Chrome 115.0.0.0,,,2023-08-14 14:57:35,2023-08-14 14:57:35,"0,469s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/Informacion Clientes/0 Tipo de usuario clientes/input_Nombre""), ""Prueba"")",Chrome 115.0.0.0,Creacion tipo de cliente,,2023-08-14 14:57:35,2023-08-14 14:57:37,"1,207s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/Informacion Clientes/0 Tipo de usuario clientes/textarea_Descripcion""), ""Prueba"")",Chrome 115.0.0.0,,,2023-08-14 14:57:37,2023-08-14 14:57:37,"0,791s",PASSED
"scrollToPosition(0, 100)",Chrome 115.0.0.0,,,2023-08-14 14:57:37,2023-08-14 14:57:37,"0,042s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:57:37,2023-08-14 14:57:39,"2,012s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/5Datos Complementarios/Informacion Clientes/0 Tipo de usuario clientes/img_Nuevo""))",Chrome 115.0.0.0,,,2023-08-14 14:57:39,2023-08-14 14:58:13,"33,202s",FAILED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 14:58:13,2023-08-14 14:58:13,"0,000s",PASSED
