Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
25 Grupos Crear Actualizar Eliminar,Chrome 115.0.0.0,,,2023-08-14 14:29:39,2023-08-14 14:32:26,"2m - 46,548s",FAILED
,,,,,,,
Test Cases/DIGITURNO/BASICO/25 Grupos Crear,Chrome 115.0.0.0,,,2023-08-14 14:29:40,2023-08-14 14:30:20,"40,284s",FAILED
"callTestCase(findTestCase(""DIGITURNO/BASICO/21 Distribucion Geografica""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:29:40,2023-08-14 14:30:03,"22,835s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/0Principal/img_4Grupos""))",Chrome 115.0.0.0,,,2023-08-14 14:30:03,2023-08-14 14:30:04,"0,933s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:30:04,2023-08-14 14:30:07,"3,018s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/4Grupos/0Modal Inicial Oficinas/td_1Bogota - CIEL""))",Chrome 115.0.0.0,,,2023-08-14 14:30:07,2023-08-14 14:30:07,"0,458s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 14:30:07,2023-08-14 14:30:09,"2,015s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/4Grupos/Edicion/btn_SalaModal""))",Chrome 115.0.0.0,,,2023-08-14 14:30:09,2023-08-14 14:30:10,"0,452s",PASSED
delay(1),Chrome 115.0.0.0,,,2023-08-14 14:30:10,2023-08-14 14:30:11,"1,015s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/4Grupos/Edicion/btn_SalaModal(1)/a_CIEL - Sala General""))",Chrome 115.0.0.0,,,2023-08-14 14:30:11,2023-08-14 14:30:11,"0,439s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:30:11,2023-08-14 14:30:14,"3,007s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/4Grupos/Edicion/input_Nombre""), ""Prueba"")",Chrome 115.0.0.0,,,2023-08-14 14:30:14,2023-08-14 14:30:15,"0,815s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/4Grupos/Edicion/textarea_Descripcion""), ""Prueba"")",Chrome 115.0.0.0,,,2023-08-14 14:30:15,2023-08-14 14:30:16,"0,776s",PASSED
"selectOptionByIndex(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/4Grupos/Edicion/select_Busqueda de turnos en la actual""), 1, STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:30:16,2023-08-14 14:30:17,"1,264s",PASSED
delay(0),Chrome 115.0.0.0,,,2023-08-14 14:30:17,2023-08-14 14:30:17,"0,000s",PASSED
"selectOptionByIndex(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/4Grupos/Edicion/select_Reclasificar turnos en la actual""), 1, STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:30:17,2023-08-14 14:30:18,"1,147s",PASSED
delay(0),Chrome 115.0.0.0,,,2023-08-14 14:30:18,2023-08-14 14:30:18,"0,000s",PASSED
"scrollToPosition(0, 1200)",Chrome 115.0.0.0,,,2023-08-14 14:30:18,2023-08-14 14:30:18,"0,040s",PASSED
"check(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/4Grupos/Edicion/label_Mostrar boton rellamar""))",Chrome 115.0.0.0,,,2023-08-14 14:30:18,2023-08-14 14:30:20,"1,702s",FAILED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 14:30:20,2023-08-14 14:30:20,"0,016s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/25 Grupos Actualizar,Chrome 115.0.0.0,,,2023-08-14 14:30:20,2023-08-14 14:31:23,"1m - 2,975s",FAILED
"callTestCase(findTestCase(""DIGITURNO/BASICO/21 Distribucion Geografica""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:30:20,2023-08-14 14:30:42,"21,253s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/0Principal/img_4Grupos""))",Chrome 115.0.0.0,,,2023-08-14 14:30:42,2023-08-14 14:30:42,"0,824s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:30:42,2023-08-14 14:30:45,"3,014s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/4Grupos/0Modal Inicial Oficinas/td_1Bogota - CIEL""))",Chrome 115.0.0.0,,,2023-08-14 14:30:45,2023-08-14 14:30:46,"0,451s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 14:30:46,2023-08-14 14:30:48,"2,017s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/4Grupos/Lista de Grupos/input_TextoABuscar""), ""Prueba"")",Chrome 115.0.0.0,,,2023-08-14 14:30:48,2023-08-14 14:30:49,"0,877s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:30:49,2023-08-14 14:30:52,"3,011s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/4Grupos/Lista de Grupos/td_1 Seleccion Busqueda""))",Chrome 115.0.0.0,,,2023-08-14 14:30:52,2023-08-14 14:31:23,"31,181s",FAILED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 14:31:23,2023-08-14 14:31:23,"0,000s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/25 Grupos Eliminar,Chrome 115.0.0.0,,,2023-08-14 14:31:23,2023-08-14 14:32:26,"1m - 3,019s",FAILED
"callTestCase(findTestCase(""DIGITURNO/BASICO/21 Distribucion Geografica""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 14:31:23,2023-08-14 14:31:45,"21,212s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/0Principal/img_4Grupos""))",Chrome 115.0.0.0,,,2023-08-14 14:31:45,2023-08-14 14:31:45,"0,724s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:31:45,2023-08-14 14:31:48,"3,006s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/4Grupos/0Modal Inicial Oficinas/td_1Bogota - CIEL""))",Chrome 115.0.0.0,,,2023-08-14 14:31:48,2023-08-14 14:31:49,"0,461s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 14:31:49,2023-08-14 14:31:51,"2,014s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/4Grupos/Lista de Grupos/input_TextoABuscar""), ""Prueba"")",Chrome 115.0.0.0,,,2023-08-14 14:31:51,2023-08-14 14:31:52,"0,869s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 14:31:52,2023-08-14 14:31:55,"3,011s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/2Distribucion Geografica/4Grupos/Lista de Grupos/td_1 Seleccion Busqueda""))",Chrome 115.0.0.0,,,2023-08-14 14:31:55,2023-08-14 14:32:26,"31,377s",FAILED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-14 14:32:26,2023-08-14 14:32:26,"0,000s",PASSED
