Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
66 Motivos Crear Actualizar Eliminar,Chrome 123.0.0.0,,,2024-04-08 09:57:07,2024-04-08 09:59:20,"2m - 13,272s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/66 Motivos Crear,Chrome 123.0.0.0,,,2024-04-08 09:57:07,2024-04-08 09:57:55,"48,035s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/32 Elementos del Sistema""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-08 09:57:07,2024-04-08 09:57:34,"26,541s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/0Principal/img_2Motivos""))",Chrome 123.0.0.0,,,2024-04-08 09:57:34,2024-04-08 09:57:35,"0,865s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 09:57:35,2024-04-08 09:57:38,"3,005s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/2 Motivos/Edicion/span_Motivos""))",Chrome 123.0.0.0,Se ingresa a la pestaña Motivos para crear un motivo,,2024-04-08 09:57:38,2024-04-08 09:57:38,"0,459s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-08 09:57:38,2024-04-08 09:57:40,"2,006s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/2 Motivos/Edicion/span_Motivos(1)/input_Nombre""), ""Prueba"")",Chrome 123.0.0.0,,,2024-04-08 09:57:40,2024-04-08 09:57:41,"0,783s",PASSED
"setText(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/2 Motivos/Edicion/span_Motivos(1)/textarea_Descripcion""), ""Motivo Prueba"")",Chrome 123.0.0.0,,,2024-04-08 09:57:41,2024-04-08 09:57:42,"0,761s",PASSED
"selectOptionByIndex(findTestObject(""DIGITURNO/CONFIGURACION/6Elementos del Sistema/2 Motivos/Edicion/span_Motivos(1)/select_Tipo motivo""), 0)",Chrome 123.0.0.0,Selecciona el tipo de motivo por el index para hacerlo general,,2024-04-08 09:57:42,2024-04-08 09:57:43,"0,973s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-08 09:57:43,2024-04-08 09:57:45,"2,007s",PASSED
