Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4 Cancelacion Transaccion,Chrome 114.0.0.0,,,2023-07-11 12:52:12,2023-07-11 12:53:01,"49,534s",PASSED
,,,,,,,
Test Cases/DIGITURNO/OPERACION BASICA/4 Cancelacion Transaccion,Chrome 114.0.0.0,,,2023-07-11 12:52:12,2023-07-11 12:53:01,"49,314s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 12:52:12,2023-07-11 12:52:24,"11,473s",PASSED
"click(findTestObject(""DIGITURNO/1Principal/img_Operacion(1)""))",Chrome 114.0.0.0,,,2023-07-11 12:52:24,2023-07-11 12:52:25,"0,689s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:52:25,2023-07-11 12:52:28,"3,003s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/0Principal/Elementos del Sistema/img_Terminales""))",Chrome 114.0.0.0,,,2023-07-11 12:52:28,2023-07-11 12:52:28,"0,770s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:52:28,2023-07-11 12:52:31,"3,011s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Oficinas/td_1Bogota - CIEL""))",Chrome 114.0.0.0,Escogemos oficina,,2023-07-11 12:52:31,2023-07-11 12:52:32,"0,505s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:52:32,2023-07-11 12:52:35,"3,015s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Terminales (Menos WorkFlow)/td_1 - Terminal - Informacion""))",Chrome 114.0.0.0,Abrimos Terminal,,2023-07-11 12:52:35,2023-07-11 12:52:35,"0,421s",PASSED
switchToWindowIndex(1),Chrome 114.0.0.0,,,2023-07-11 12:52:35,2023-07-11 12:52:36,"0,878s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:52:36,2023-07-11 12:52:39,"3,006s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Llamar""))",Chrome 114.0.0.0,,,2023-07-11 12:52:39,2023-07-11 12:52:40,"0,421s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:52:40,2023-07-11 12:52:43,"3,014s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Cancelar Transaccion""))",Chrome 114.0.0.0,,,2023-07-11 12:52:43,2023-07-11 12:52:44,"1,780s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:52:44,2023-07-11 12:52:47,"3,003s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Cancelar Transaccion(1)/btn_4Tramitador_16C""))",Chrome 114.0.0.0,,,2023-07-11 12:52:47,2023-07-11 12:52:48,"0,444s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:52:48,2023-07-11 12:52:51,"3,003s",PASSED
takeFullPageScreenshot(),Chrome 114.0.0.0,,,2023-07-11 12:52:51,2023-07-11 12:52:52,"0,930s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:52:52,2023-07-11 12:52:54,"2,002s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Cerrar""))",Chrome 114.0.0.0,,,2023-07-11 12:52:54,2023-07-11 12:52:54,"0,527s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:52:54,2023-07-11 12:52:57,"3,005s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Cerrar(1)/btn_4FindeJornada_8""))",Chrome 114.0.0.0,,,2023-07-11 12:52:57,2023-07-11 12:52:58,"1,106s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:52:58,2023-07-11 12:53:01,"3,008s",PASSED
Start listener action : sampleAfterTestCase,Chrome 114.0.0.0,,,2023-07-11 12:53:01,2023-07-11 12:53:01,"0,015s",PASSED
