Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5 Reclasificacion Turno,Chrome 123.0.0.0,,,2024-04-08 07:57:46,2024-04-08 07:58:52,"1m - 6,143s",PASSED
,,,,,,,
Test Cases/DIGITURNO/OPERACION BASICA TERMINAL/5 Reclasificación Turno,Chrome 123.0.0.0,,,2024-04-08 07:57:46,2024-04-08 07:58:52,"1m - 5,886s",PASSED
"callTestCase(findTestCase(""0InicioSesionOperacionBasica""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-08 07:57:47,2024-04-08 07:58:01,"14,910s",PASSED
"click(findTestObject(""DIGITURNO/1Principal/img_Operacion(1)""))",Chrome 123.0.0.0,,,2024-04-08 07:58:01,2024-04-08 07:58:02,"0,645s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:58:02,2024-04-08 07:58:05,"3,015s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/0Principal/Elementos del Sistema/img_Terminales""))",Chrome 123.0.0.0,,,2024-04-08 07:58:05,2024-04-08 07:58:06,"0,584s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:58:06,2024-04-08 07:58:09,"3,015s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Oficinas/td_1Bogota - CIEL""))",Chrome 123.0.0.0,Escogemos oficina,,2024-04-08 07:58:09,2024-04-08 07:58:09,"0,476s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:58:09,2024-04-08 07:58:12,"3,003s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Terminales (Menos WorkFlow)/td_1 - Terminal - Informacion""))",Chrome 123.0.0.0,Abrimos Terminal,,2024-04-08 07:58:12,2024-04-08 07:58:13,"0,465s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:58:13,2024-04-08 07:58:16,"3,001s",PASSED
switchToWindowIndex(1),Chrome 123.0.0.0,,,2024-04-08 07:58:16,2024-04-08 07:58:16,"0,051s",PASSED
delay(2),Chrome 123.0.0.0,,,2024-04-08 07:58:16,2024-04-08 07:58:18,"2,004s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Llamar""))",Chrome 123.0.0.0,,,2024-04-08 07:58:18,2024-04-08 07:58:18,"0,433s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:58:18,2024-04-08 07:58:21,"3,006s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Ocupado""))",Chrome 123.0.0.0,,,2024-04-08 07:58:21,2024-04-08 07:58:22,"1,113s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:58:22,2024-04-08 07:58:25,"3,007s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Ocupado(1)/a_1Actualizacion de Datos""))",Chrome 123.0.0.0,,,2024-04-08 07:58:25,2024-04-08 07:58:26,"0,767s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:58:26,2024-04-08 07:58:29,"3,005s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Reclasificar""))",Chrome 123.0.0.0,,,2024-04-08 07:58:29,2024-04-08 07:58:30,"0,995s",PASSED
delay(3),Chrome 123.0.0.0,Reclasificar el turno,,2024-04-08 07:58:30,2024-04-08 07:58:33,"3,009s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Reclasificar(1)/a_2PQRS - General""))",Chrome 123.0.0.0,,,2024-04-08 07:58:33,2024-04-08 07:58:34,"1,010s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:58:34,2024-04-08 07:58:37,"3,012s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Reclasificar(1)/img_Reclasificar(1) (1)/img_Reclasificar(2) (1)/a_2Facturacion""))",Chrome 123.0.0.0,,,2024-04-08 07:58:37,2024-04-08 07:58:38,"1,012s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:58:38,2024-04-08 07:58:41,"3,010s",PASSED
takeFullPageScreenshot(),Chrome 123.0.0.0,,,2024-04-08 07:58:41,2024-04-08 07:58:42,"0,581s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:58:42,2024-04-08 07:58:45,"3,016s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Cerrar""))",Chrome 123.0.0.0,,,2024-04-08 07:58:45,2024-04-08 07:58:45,"0,421s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:58:45,2024-04-08 07:58:48,"3,004s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/Terminal/img_Cerrar(1)/btn_4FindeJornada_8""))",Chrome 123.0.0.0,,,2024-04-08 07:58:48,2024-04-08 07:58:49,"0,985s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-08 07:58:49,2024-04-08 07:58:52,"3,012s",PASSED
Start listener action : sampleAfterTestCase,Chrome 123.0.0.0,,,2024-04-08 07:58:52,2024-04-08 07:58:52,"0,000s",PASSED
