Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
42 Prioridades Crear Eliminar,Chrome 114.0.0.0,,,2023-07-11 12:11:12,2023-07-11 12:12:38,"1m - 26,052s",PASSED
,,,,,,,
Test Cases/DIGITURNO/BASICO/42 Prioridades Crear,Chrome 114.0.0.0,,,2023-07-11 12:11:12,2023-07-11 12:11:55,"42,576s",PASSED
"callTestCase(findTestCase(""DIGITURNO/BASICO/39 Modelo de atencion""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-11 12:11:13,2023-07-11 12:11:39,"26,032s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/0Principal/img_3Prioridades""))",Chrome 114.0.0.0,,,2023-07-11 12:11:39,2023-07-11 12:11:40,"1,034s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:11:40,2023-07-11 12:11:43,"3,010s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/3Prioridades/Prioridad por sala por jornada/a_selectOficina (click)""))",Chrome 114.0.0.0,,,2023-07-11 12:11:43,2023-07-11 12:11:43,"0,505s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:11:43,2023-07-11 12:11:45,"2,008s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/3Prioridades/Prioridad por sala por jornada/li_1Bogota - CIEL""))",Chrome 114.0.0.0,,,2023-07-11 12:11:45,2023-07-11 12:11:46,"0,477s",PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-11 12:11:46,2023-07-11 12:11:48,"2,005s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/3Prioridades/Prioridad por sala por jornada/img_Actualizar""))",Chrome 114.0.0.0,,,2023-07-11 12:11:48,2023-07-11 12:11:48,"0,466s",PASSED
"click(findTestObject(""DIGITURNO/CONFIGURACION/1Modelo de Atencion/3Prioridades/Prioridad por sala por jornada/img_Actualizar""))",Chrome 114.0.0.0,,,2023-07-11 12:11:48,2023-07-11 12:11:48,"0,187s",PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-07-11 12:11:48,2023-07-11 12:11:49,"0,039s",PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-11 12:11:49,2023-07-11 12:11:52,"3,008s",PASSED
takeFullPageScreenshot(),Chrome 114.0.0.0,,,2023-07-11 12:11:52,2023-07-11 12:11:52,"0,494s",PASSED
