Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.8 Motivos por oficina,Chrome 122.0.0.0,,,2024-03-11 11:18:45,2024-03-11 11:19:22,"37,184s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/8Motivos por Oficina/5.8 Motivos por oficina,Chrome 122.0.0.0,,,2024-03-11 11:18:45,2024-03-11 11:19:22,"36,957s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,2024-03-11 11:18:46,2024-03-11 11:18:59,"13,291s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 122.0.0.0,,,2024-03-11 11:18:59,2024-03-11 11:19:00,"0,578s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 11:19:00,2024-03-11 11:19:03,"3,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Motivos por oficinas""))",Chrome 122.0.0.0,,,2024-03-11 11:19:03,2024-03-11 11:19:04,"1,202s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 11:19:04,2024-03-11 11:19:07,"3,007s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/8Motivos por Oficina/Motivos por Oficina/a_clickOficinas""))",Chrome 122.0.0.0,,,2024-03-11 11:19:07,2024-03-11 11:19:07,"0,487s",PASSED
"check(findTestObject(""WIZARD/3Infraestructura/8Motivos por Oficina/Motivos por Oficina/Label/label_Seleccionar todas las oficinas""))",Chrome 122.0.0.0,Seleccionamos todas las oficinas,,2024-03-11 11:19:07,2024-03-11 11:19:08,"0,574s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/8Motivos por Oficina/Motivos por Oficina/a_clickOficinas""))",Chrome 122.0.0.0,,,2024-03-11 11:19:08,2024-03-11 11:19:08,"0,522s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 11:19:08,2024-03-11 11:19:11,"3,011s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/8Motivos por Oficina/Motivos por Oficina/a_SeleccionarTodo""))",Chrome 122.0.0.0,,,2024-03-11 11:19:11,2024-03-11 11:19:12,"0,488s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/8Motivos por Oficina/Motivos por Oficina/a_SeleccionarTodo""))",Chrome 122.0.0.0,,,2024-03-11 11:19:12,2024-03-11 11:19:13,"0,683s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 11:19:13,2024-03-11 11:19:15,"2,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/8Motivos por Oficina/Motivos por Oficina/btn_Relacionar oficinas""))",Chrome 122.0.0.0,,,2024-03-11 11:19:15,2024-03-11 11:19:15,"0,785s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 11:19:15,2024-03-11 11:19:18,"3,014s",PASSED
takeFullPageScreenshot(),Chrome 122.0.0.0,,,2024-03-11 11:19:18,2024-03-11 11:19:19,"0,970s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 11:19:19,2024-03-11 11:19:22,"3,003s",PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,2024-03-11 11:19:22,2024-03-11 11:19:22,"0,009s",PASSED
