Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.2 Crear Chipichape - Sala General,Chrome 115.0.0.0,,,2023-08-14 10:54:49,2023-08-14 10:55:44,"55,351s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/2Salas/5.2 Crear Chipichape - Sala General,Chrome 115.0.0.0,,,2023-08-14 10:54:49,2023-08-14 10:55:44,"55,113s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-14 10:54:50,2023-08-14 10:55:02,"12,487s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 115.0.0.0,,,2023-08-14 10:55:02,2023-08-14 10:55:04,"1,644s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:55:04,2023-08-14 10:55:07,"3,013s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Salas""))",Chrome 115.0.0.0,,,2023-08-14 10:55:07,2023-08-14 10:55:07,"0,760s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-14 10:55:07,2023-08-14 10:55:10,"3,003s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/btn_SeleccionarOficina""))",Chrome 115.0.0.0,Se escoge oficina Cali para crear Chipichape - Sala General,,2023-08-14 10:55:10,2023-08-14 10:55:11,"0,491s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 10:55:11,2023-08-14 10:55:13,"2,005s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/btn_Seleccionar Oficina(1)/a_Cali - Chipichape""))",Chrome 115.0.0.0,,,2023-08-14 10:55:13,2023-08-14 10:55:13,"0,512s",PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-14 10:55:13,2023-08-14 10:55:15,"2,007s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/input_Nombre""), ""Chipichape - Sala General"")",Chrome 115.0.0.0,,,2023-08-14 10:55:15,2023-08-14 10:55:16,"0,869s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/2Salas/2Edicion/textarea_Descripcion""), ""Chipichape - Sala General"")",Chrome 115.0.0.0,,,2023-08-14 10:55:16,2023-08-14 10:55:17,"0,864s",PASSED
