Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.5 Crear Terminales Medellin,Chrome 123.0.0.0,,,2024-04-02 15:24:05,2024-04-02 15:25:34,"1m - 29,012s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/5Terminales/5.5 Crear Terminales Medellin,Chrome 123.0.0.0,,,2024-04-02 15:24:05,2024-04-02 15:25:34,"1m - 28,764s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,2024-04-02 15:24:06,2024-04-02 15:24:18,"12,266s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 123.0.0.0,,,2024-04-02 15:24:18,2024-04-02 15:24:19,"0,711s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:24:19,2024-04-02 15:24:22,"3,010s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Terminales""))",Chrome 123.0.0.0,inicio Medellin informacion,,2024-04-02 15:24:22,2024-04-02 15:24:22,"0,670s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:24:22,2024-04-02 15:24:25,"3,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/0OficinasModal/td_5Medellin - Laureles""))",Chrome 123.0.0.0,,,2024-04-02 15:24:25,2024-04-02 15:24:26,"0,468s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:24:26,2024-04-02 15:24:29,"3,010s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_SeleccionarGrupo""))",Chrome 123.0.0.0,,,2024-04-02 15:24:29,2024-04-02 15:24:29,"0,477s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:24:29,2024-04-02 15:24:32,"3,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/btn_Seleccionar Grupo(1)/a_Grupo General""))",Chrome 123.0.0.0,,,2024-04-02 15:24:32,2024-04-02 15:24:33,"0,456s",PASSED
delay(3),Chrome 123.0.0.0,,,2024-04-02 15:24:33,2024-04-02 15:24:36,"3,008s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/input_Nombre""), ""A01"")",Chrome 123.0.0.0,,,2024-04-02 15:24:36,2024-04-02 15:24:37,"0,833s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/textarea_Descripcion""), ""Medellin - Terminal - Informacion"")",Chrome 123.0.0.0,,,2024-04-02 15:24:37,2024-04-02 15:24:37,"0,824s",PASSED
"scrollToElement(findTestObject(""WIZARD/3Infraestructura/5Terminales/Edicion/Label/label_Mostrar ventana emergente""), 2)",Chrome 123.0.0.0,,,2024-04-02 15:24:37,2024-04-02 15:24:38,"0,382s",PASSED
